id,email_text,category,sentiment,priority,email_length,clean_text,tokens,tokens_no_stopwords,lemmatized_tokens,pos_tags,entities
11,"My credit card ending in 1234 was charged ₹10,000 but I never received a confirmation email.",Billing,Neutral,High,16,my credit card ending in was charged but i never received a confirmation email,"['my', 'credit', 'card', 'ending', 'in', 'was', 'charged', 'but', 'i', 'never', 'received', 'a', 'confirmation', 'email']","['credit', 'card', 'ending', 'charged', 'never', 'received', 'confirmation', 'email']","['credit', 'card', 'ending', 'charged', 'never', 'received', 'confirmation', 'email']","[('credit', 'NN'), ('card', 'NN'), ('ending', 'VBG'), ('charged', 'VBN'), ('never', 'RB'), ('received', 'VBN'), ('confirmation', 'NN'), ('email', 'NN')]","[{'text': '1234', 'label': 'DATE'}, {'text': '10,000', 'label': 'MONEY'}]"
12,I need to update my mobile number linked to my account from +91-7654321098 to +91-8877665544.,Account,Negative,Critical,15,i need to update my mobile number linked to my account from to,"['i', 'need', 'to', 'update', 'my', 'mobile', 'number', 'linked', 'to', 'my', 'account', 'from', 'to']","['need', 'update', 'mobile', 'number', 'linked', 'account']","['need', 'update', 'mobile', 'number', 'linked', 'account']","[('need', 'NN'), ('update', 'VBP'), ('mobile', 'JJ'), ('number', 'NN'), ('linked', 'VBN'), ('account', 'NN')]","[{'text': '+91-7654321098', 'label': 'GPE'}]"
13,I cannot access my account after I changed my phone number. The OTP is going to the old number.,Account,Neutral,High,19,i cannot access my account after i changed my phone number the otp is going to the old number,"['i', 'can', 'not', 'access', 'my', 'account', 'after', 'i', 'changed', 'my', 'phone', 'number', 'the', 'otp', 'is', 'going', 'to', 'the', 'old', 'number']","['access', 'account', 'changed', 'phone', 'number', 'otp', 'going', 'old', 'number']","['access', 'account', 'changed', 'phone', 'number', 'otp', 'going', 'old', 'number']","[('access', 'NN'), ('account', 'NN'), ('changed', 'VBD'), ('phone', 'NN'), ('number', 'NN'), ('otp', 'NN'), ('going', 'VBG'), ('old', 'JJ'), ('number', 'NN')]","[{'text': 'OTP', 'label': 'ORG'}]"
14,My credit card ending in 5678 was charged $299 but I never received a confirmation email.,Billing,Neutral,Medium,16,my credit card ending in was charged but i never received a confirmation email,"['my', 'credit', 'card', 'ending', 'in', 'was', 'charged', 'but', 'i', 'never', 'received', 'a', 'confirmation', 'email']","['credit', 'card', 'ending', 'charged', 'never', 'received', 'confirmation', 'email']","['credit', 'card', 'ending', 'charged', 'never', 'received', 'confirmation', 'email']","[('credit', 'NN'), ('card', 'NN'), ('ending', 'VBG'), ('charged', 'VBN'), ('never', 'RB'), ('received', 'VBN'), ('confirmation', 'NN'), ('email', 'NN')]","[{'text': '5678', 'label': 'DATE'}, {'text': '299', 'label': 'MONEY'}]"
15,I am unable to change my username. The option is greyed out in account settings.,Account,Neutral,Critical,15,i am unable to change my username the option is greyed out in account settings,"['i', 'am', 'unable', 'to', 'change', 'my', 'username', 'the', 'option', 'is', 'greyed', 'out', 'in', 'account', 'settings']","['unable', 'change', 'username', 'option', 'greyed', 'account', 'settings']","['unable', 'change', 'username', 'option', 'greyed', 'account', 'setting']","[('unable', 'JJ'), ('change', 'NN'), ('username', 'JJ'), ('option', 'NN'), ('greyed', 'VBD'), ('account', 'NN'), ('setting', 'NN')]",[]
16,The video tutorials on your website are outdated and do not reflect the current version of the software.,Feedback,Positive,Low,18,the video tutorials on your website are outdated and do not reflect the current version of the software,"['the', 'video', 'tutorials', 'on', 'your', 'website', 'are', 'outdated', 'and', 'do', 'not', 'reflect', 'the', 'current', 'version', 'of', 'the', 'software']","['video', 'tutorials', 'website', 'outdated', 'reflect', 'current', 'version', 'software']","['video', 'tutorial', 'website', 'outdated', 'reflect', 'current', 'version', 'software']","[('video', 'NN'), ('tutorial', 'JJ'), ('website', 'NN'), ('outdated', 'VBD'), ('reflect', 'JJ'), ('current', 'JJ'), ('version', 'NN'), ('software', 'NN')]",[]
17,What happens to my data if I decide to cancel my subscription? How long is data retained?,General Inquiry,Positive,Low,17,what happens to my data if i decide to cancel my subscription how long is data retained,"['what', 'happens', 'to', 'my', 'data', 'if', 'i', 'decide', 'to', 'cancel', 'my', 'subscription', 'how', 'long', 'is', 'data', 'retained']","['happens', 'data', 'decide', 'cancel', 'subscription', 'long', 'data', 'retained']","['happens', 'data', 'decide', 'cancel', 'subscription', 'long', 'data', 'retained']","[('happens', 'NNS'), ('data', 'NNS'), ('decide', 'RB'), ('cancel', 'JJ'), ('subscription', 'NN'), ('long', 'RB'), ('data', 'NNS'), ('retained', 'VBD')]",[]
18,The mobile app is draining my battery too fast. It consumes 30% battery in just 2 hours.,Technical,Neutral,High,17,the mobile app is draining my battery too fast it consumes battery in just hours,"['the', 'mobile', 'app', 'is', 'draining', 'my', 'battery', 'too', 'fast', 'it', 'consumes', 'battery', 'in', 'just', 'hours']","['mobile', 'app', 'draining', 'battery', 'fast', 'consumes', 'battery', 'hours']","['mobile', 'app', 'draining', 'battery', 'fast', 'consumes', 'battery', 'hour']","[('mobile', 'JJ'), ('app', 'NN'), ('draining', 'VBG'), ('battery', 'NN'), ('fast', 'RB'), ('consumes', 'VBZ'), ('battery', 'RB'), ('hour', 'NN')]","[{'text': '30%', 'label': 'PERCENT'}, {'text': 'just 2 hours', 'label': 'TIME'}]"
19,What are your support hours and what is the average response time for technical issues?,General Inquiry,Positive,Low,15,what are your support hours and what is the average response time for technical issues,"['what', 'are', 'your', 'support', 'hours', 'and', 'what', 'is', 'the', 'average', 'response', 'time', 'for', 'technical', 'issues']","['support', 'hours', 'average', 'response', 'time', 'technical', 'issues']","['support', 'hour', 'average', 'response', 'time', 'technical', 'issue']","[('support', 'VB'), ('hour', 'NN'), ('average', 'JJ'), ('response', 'NN'), ('time', 'NN'), ('technical', 'JJ'), ('issue', 'NN')]",[]
20,"I want to request a full refund for my order #ORD-66123 placed on April 18, 2026. The product was defective.",Refund,Negative,High,20,i want to request a full refund for my order ord placed on april the product was defective,"['i', 'want', 'to', 'request', 'a', 'full', 'refund', 'for', 'my', 'order', 'ord', 'placed', 'on', 'april', 'the', 'product', 'was', 'defective']","['want', 'request', 'full', 'refund', 'order', 'ord', 'placed', 'april', 'product', 'defective']","['want', 'request', 'full', 'refund', 'order', 'ord', 'placed', 'april', 'product', 'defective']","[('want', 'JJ'), ('request', 'NN'), ('full', 'JJ'), ('refund', 'NN'), ('order', 'NN'), ('ord', 'NN'), ('placed', 'VBN'), ('april', 'JJ'), ('product', 'NN'), ('defective', 'NN')]","[{'text': 'ORD-66123', 'label': 'MONEY'}, {'text': 'April 18, 2026', 'label': 'DATE'}]"
21,My payment of $299 was deducted but the order was not confirmed. Please check and resolve this issue.,Billing,Negative,Medium,18,my payment of was deducted but the order was not confirmed please check and resolve this issue,"['my', 'payment', 'of', 'was', 'deducted', 'but', 'the', 'order', 'was', 'not', 'confirmed', 'please', 'check', 'and', 'resolve', 'this', 'issue']","['payment', 'deducted', 'order', 'confirmed', 'please', 'check', 'resolve', 'issue']","['payment', 'deducted', 'order', 'confirmed', 'please', 'check', 'resolve', 'issue']","[('payment', 'NN'), ('deducted', 'VBD'), ('order', 'NN'), ('confirmed', 'VBD'), ('please', 'JJ'), ('check', 'VB'), ('resolve', 'NNS'), ('issue', 'VB')]","[{'text': '299', 'label': 'MONEY'}]"
22,"I was promised a callback within 24 hours on November 20, 2025 but no one called. This is unacceptable.",Complaint,Neutral,High,19,i was promised a callback within hours on november but no one called this is unacceptable,"['i', 'was', 'promised', 'a', 'callback', 'within', 'hours', 'on', 'november', 'but', 'no', 'one', 'called', 'this', 'is', 'unacceptable']","['promised', 'callback', 'within', 'hours', 'november', 'one', 'called', 'unacceptable']","['promised', 'callback', 'within', 'hour', 'november', 'one', 'called', 'unacceptable']","[('promised', 'VBN'), ('callback', 'NN'), ('within', 'IN'), ('hour', 'NN'), ('november', 'CC'), ('one', 'CD'), ('called', 'VBN'), ('unacceptable', 'JJ')]","[{'text': '24 hours', 'label': 'TIME'}, {'text': 'November 20, 2025', 'label': 'DATE'}]"
23,Can you confirm if your service is available in Singapore and if pricing is in local currency?,General Inquiry,Neutral,Medium,17,can you confirm if your service is available in singapore and if pricing is in local currency,"['can', 'you', 'confirm', 'if', 'your', 'service', 'is', 'available', 'in', 'singapore', 'and', 'if', 'pricing', 'is', 'in', 'local', 'currency']","['confirm', 'service', 'available', 'singapore', 'pricing', 'local', 'currency']","['confirm', 'service', 'available', 'singapore', 'pricing', 'local', 'currency']","[('confirm', 'NN'), ('service', 'NN'), ('available', 'JJ'), ('singapore', 'RB'), ('pricing', 'VBG'), ('local', 'JJ'), ('currency', 'NN')]","[{'text': 'Singapore', 'label': 'GPE'}]"
24,I cannot integrate your service with Slack. The API key authentication is failing.,Technical,Negative,High,13,i cannot integrate your service with slack the api key authentication is failing,"['i', 'can', 'not', 'integrate', 'your', 'service', 'with', 'slack', 'the', 'api', 'key', 'authentication', 'is', 'failing']","['integrate', 'service', 'slack', 'api', 'key', 'authentication', 'failing']","['integrate', 'service', 'slack', 'api', 'key', 'authentication', 'failing']","[('integrate', 'JJ'), ('service', 'NN'), ('slack', 'NN'), ('api', 'IN'), ('key', 'JJ'), ('authentication', 'NN'), ('failing', 'VBG')]","[{'text': 'Slack', 'label': 'ORG'}, {'text': 'API', 'label': 'ORG'}]"
25,My profile picture is not updating despite uploading multiple times. The old photo keeps showing.,Account,Negative,Critical,15,my profile picture is not updating despite uploading multiple times the old photo keeps showing,"['my', 'profile', 'picture', 'is', 'not', 'updating', 'despite', 'uploading', 'multiple', 'times', 'the', 'old', 'photo', 'keeps', 'showing']","['profile', 'picture', 'updating', 'despite', 'uploading', 'multiple', 'times', 'old', 'photo', 'keeps', 'showing']","['profile', 'picture', 'updating', 'despite', 'uploading', 'multiple', 'time', 'old', 'photo', 'keep', 'showing']","[('profile', 'JJ'), ('picture', 'NN'), ('updating', 'VBG'), ('despite', 'IN'), ('uploading', 'VBG'), ('multiple', 'JJ'), ('time', 'NN'), ('old', 'JJ'), ('photo', 'NN'), ('keep', 'VB'), ('showing', 'NN')]",[]
26,The calendar sync with Google Calendar is not reflecting the correct time zone.,Technical,Negative,Critical,13,the calendar sync with google calendar is not reflecting the correct time zone,"['the', 'calendar', 'sync', 'with', 'google', 'calendar', 'is', 'not', 'reflecting', 'the', 'correct', 'time', 'zone']","['calendar', 'sync', 'google', 'calendar', 'reflecting', 'correct', 'time', 'zone']","['calendar', 'sync', 'google', 'calendar', 'reflecting', 'correct', 'time', 'zone']","[('calendar', 'NN'), ('sync', 'NN'), ('google', 'NN'), ('calendar', 'NN'), ('reflecting', 'VBG'), ('correct', 'JJ'), ('time', 'NN'), ('zone', 'NN')]","[{'text': 'Google Calendar', 'label': 'ORG'}]"
27,"I have not received my refund of $299 that was approved on January 5, 2026. Please provide an update.",Billing,Negative,High,19,i have not received my refund of that was approved on january please provide an update,"['i', 'have', 'not', 'received', 'my', 'refund', 'of', 'that', 'was', 'approved', 'on', 'january', 'please', 'provide', 'an', 'update']","['received', 'refund', 'approved', 'january', 'please', 'provide', 'update']","['received', 'refund', 'approved', 'january', 'please', 'provide', 'update']","[('received', 'VBN'), ('refund', 'NN'), ('approved', 'VBD'), ('january', 'JJ'), ('please', 'NN'), ('provide', 'VB'), ('update', 'NN')]","[{'text': '299', 'label': 'MONEY'}, {'text': 'January 5, 2026', 'label': 'DATE'}]"
28,The response time of your support team has improved considerably over the last few months. Well done.,Feedback,Negative,Medium,17,the response time of your support team has improved considerably over the last few months well done,"['the', 'response', 'time', 'of', 'your', 'support', 'team', 'has', 'improved', 'considerably', 'over', 'the', 'last', 'few', 'months', 'well', 'done']","['response', 'time', 'support', 'team', 'improved', 'considerably', 'last', 'months', 'well', 'done']","['response', 'time', 'support', 'team', 'improved', 'considerably', 'last', 'month', 'well', 'done']","[('response', 'NN'), ('time', 'NN'), ('support', 'NN'), ('team', 'NN'), ('improved', 'VBD'), ('considerably', 'RB'), ('last', 'JJ'), ('month', 'NN'), ('well', 'RB'), ('done', 'VBN')]","[{'text': 'the last few months', 'label': 'DATE'}]"
29,I have been experiencing frequent session timeouts every 30 minutes even while actively using the app.,Technical,Neutral,High,16,i have been experiencing frequent session timeouts every minutes even while actively using the app,"['i', 'have', 'been', 'experiencing', 'frequent', 'session', 'timeouts', 'every', 'minutes', 'even', 'while', 'actively', 'using', 'the', 'app']","['experiencing', 'frequent', 'session', 'timeouts', 'every', 'minutes', 'even', 'actively', 'using', 'app']","['experiencing', 'frequent', 'session', 'timeouts', 'every', 'minute', 'even', 'actively', 'using', 'app']","[('experiencing', 'VBG'), ('frequent', 'JJ'), ('session', 'NN'), ('timeouts', 'NNS'), ('every', 'DT'), ('minute', 'NN'), ('even', 'RB'), ('actively', 'RB'), ('using', 'VBG'), ('app', 'NN')]","[{'text': 'every 30 minutes', 'label': 'TIME'}]"
30,I am unable to export my data in CSV format. The export button does not respond when clicked.,Technical,Negative,High,18,i am unable to export my data in csv format the export button does not respond when clicked,"['i', 'am', 'unable', 'to', 'export', 'my', 'data', 'in', 'csv', 'format', 'the', 'export', 'button', 'does', 'not', 'respond', 'when', 'clicked']","['unable', 'export', 'data', 'csv', 'format', 'export', 'button', 'respond', 'clicked']","['unable', 'export', 'data', 'csv', 'format', 'export', 'button', 'respond', 'clicked']","[('unable', 'JJ'), ('export', 'NN'), ('data', 'NNS'), ('csv', 'NNS'), ('format', 'VBP'), ('export', 'NN'), ('button', 'NN'), ('respond', 'NN'), ('clicked', 'VBD')]","[{'text': 'CSV', 'label': 'ORG'}]"
31,"I was overcharged by ₹10,000 on my last order. Please refund the excess amount to my card.",Refund,Negative,High,17,i was overcharged by on my last order please refund the excess amount to my card,"['i', 'was', 'overcharged', 'by', 'on', 'my', 'last', 'order', 'please', 'refund', 'the', 'excess', 'amount', 'to', 'my', 'card']","['overcharged', 'last', 'order', 'please', 'refund', 'excess', 'amount', 'card']","['overcharged', 'last', 'order', 'please', 'refund', 'excess', 'amount', 'card']","[('overcharged', 'VBN'), ('last', 'JJ'), ('order', 'NN'), ('please', 'NN'), ('refund', 'VB'), ('excess', 'JJ'), ('amount', 'NN'), ('card', 'NN')]","[{'text': '10,000', 'label': 'MONEY'}]"
32,"The payment gateway shows my transaction of ₹5,000 as pending for the last 21 days. Please resolve.",Billing,Negative,High,17,the payment gateway shows my transaction of as pending for the last days please resolve,"['the', 'payment', 'gateway', 'shows', 'my', 'transaction', 'of', 'as', 'pending', 'for', 'the', 'last', 'days', 'please', 'resolve']","['payment', 'gateway', 'shows', 'transaction', 'pending', 'last', 'days', 'please', 'resolve']","['payment', 'gateway', 'show', 'transaction', 'pending', 'last', 'day', 'please', 'resolve']","[('payment', 'NN'), ('gateway', 'NN'), ('show', 'NN'), ('transaction', 'NN'), ('pending', 'VBG'), ('last', 'JJ'), ('day', 'NN'), ('please', 'VBD'), ('resolve', 'VB')]","[{'text': '5,000', 'label': 'MONEY'}, {'text': 'the last 21 days', 'label': 'DATE'}]"
33,"The service was not delivered as promised. I am requesting a partial refund of ₹5,000.",Refund,Neutral,Medium,15,the service was not delivered as promised i am requesting a partial refund of,"['the', 'service', 'was', 'not', 'delivered', 'as', 'promised', 'i', 'am', 'requesting', 'a', 'partial', 'refund', 'of']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']","[('service', 'NN'), ('delivered', 'VBD'), ('promised', 'JJ'), ('requesting', 'VBG'), ('partial', 'JJ'), ('refund', 'NN')]","[{'text': '5,000', 'label': 'MONEY'}]"
34,"Please update my billing address on my account. My new address is 123 MG Road, Bangalore, KA 560001.",Billing,Neutral,Medium,18,please update my billing address on my account my new address is mg road bangalore ka,"['please', 'update', 'my', 'billing', 'address', 'on', 'my', 'account', 'my', 'new', 'address', 'is', 'mg', 'road', 'bangalore', 'ka']","['please', 'update', 'billing', 'address', 'account', 'new', 'address', 'mg', 'road', 'bangalore', 'ka']","['please', 'update', 'billing', 'address', 'account', 'new', 'address', 'mg', 'road', 'bangalore', 'ka']","[('please', 'VB'), ('update', 'JJ'), ('billing', 'NN'), ('address', 'NN'), ('account', 'VBP'), ('new', 'JJ'), ('address', 'NN'), ('mg', 'NN'), ('road', 'NN'), ('bangalore', 'NN'), ('ka', 'NN')]","[{'text': '123', 'label': 'CARDINAL'}, {'text': 'Bangalore', 'label': 'PERSON'}, {'text': 'KA 560001', 'label': 'ORG'}]"
35,The service was not delivered as promised. I am requesting a partial refund of ₹999.,Refund,Neutral,Medium,15,the service was not delivered as promised i am requesting a partial refund of,"['the', 'service', 'was', 'not', 'delivered', 'as', 'promised', 'i', 'am', 'requesting', 'a', 'partial', 'refund', 'of']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']","[('service', 'NN'), ('delivered', 'VBD'), ('promised', 'JJ'), ('requesting', 'VBG'), ('partial', 'JJ'), ('refund', 'NN')]","[{'text': '999', 'label': 'MONEY'}]"
36,"The search functionality is broken. When I search for settings, no results are displayed.",Technical,Negative,High,14,the search functionality is broken when i search for settings no results are displayed,"['the', 'search', 'functionality', 'is', 'broken', 'when', 'i', 'search', 'for', 'settings', 'no', 'results', 'are', 'displayed']","['search', 'functionality', 'broken', 'search', 'settings', 'results', 'displayed']","['search', 'functionality', 'broken', 'search', 'setting', 'result', 'displayed']","[('search', 'NN'), ('functionality', 'NN'), ('broken', 'VBN'), ('search', 'NN'), ('setting', 'VBG'), ('result', 'NN'), ('displayed', 'VBD')]",[]
37,"I was promised a callback within 24 hours on November 20, 2025 but no one called. This is unacceptable.",Complaint,Neutral,High,19,i was promised a callback within hours on november but no one called this is unacceptable,"['i', 'was', 'promised', 'a', 'callback', 'within', 'hours', 'on', 'november', 'but', 'no', 'one', 'called', 'this', 'is', 'unacceptable']","['promised', 'callback', 'within', 'hours', 'november', 'one', 'called', 'unacceptable']","['promised', 'callback', 'within', 'hour', 'november', 'one', 'called', 'unacceptable']","[('promised', 'VBN'), ('callback', 'NN'), ('within', 'IN'), ('hour', 'NN'), ('november', 'CC'), ('one', 'CD'), ('called', 'VBN'), ('unacceptable', 'JJ')]","[{'text': '24 hours', 'label': 'TIME'}, {'text': 'November 20, 2025', 'label': 'DATE'}]"
38,The new report generation feature is fantastic but it would be better if we could schedule automated reports.,Feedback,Negative,Low,18,the new report generation feature is fantastic but it would be better if we could schedule automated reports,"['the', 'new', 'report', 'generation', 'feature', 'is', 'fantastic', 'but', 'it', 'would', 'be', 'better', 'if', 'we', 'could', 'schedule', 'automated', 'reports']","['new', 'report', 'generation', 'feature', 'fantastic', 'would', 'better', 'could', 'schedule', 'automated', 'reports']","['new', 'report', 'generation', 'feature', 'fantastic', 'would', 'better', 'could', 'schedule', 'automated', 'report']","[('new', 'JJ'), ('report', 'NN'), ('generation', 'NN'), ('feature', 'NN'), ('fantastic', 'JJ'), ('would', 'MD'), ('better', 'VB'), ('could', 'MD'), ('schedule', 'VB'), ('automated', 'VBN'), ('report', 'NN')]",[]
39,The refund status on my dashboard shows processing for the last 3 days. When will it be credited?,Refund,Negative,High,18,the refund status on my dashboard shows processing for the last days when will it be credited,"['the', 'refund', 'status', 'on', 'my', 'dashboard', 'shows', 'processing', 'for', 'the', 'last', 'days', 'when', 'will', 'it', 'be', 'credited']","['refund', 'status', 'dashboard', 'shows', 'processing', 'last', 'days', 'credited']","['refund', 'status', 'dashboard', 'show', 'processing', 'last', 'day', 'credited']","[('refund', 'NN'), ('status', 'NN'), ('dashboard', 'NN'), ('show', 'NN'), ('processing', 'NN'), ('last', 'JJ'), ('day', 'NN'), ('credited', 'VBD')]","[{'text': 'the last 3 days', 'label': 'DATE'}]"
40,I am very happy with the recent improvements to the mobile app. The new features are excellent.,Feedback,Negative,Medium,17,i am very happy with the recent improvements to the mobile app the new features are excellent,"['i', 'am', 'very', 'happy', 'with', 'the', 'recent', 'improvements', 'to', 'the', 'mobile', 'app', 'the', 'new', 'features', 'are', 'excellent']","['happy', 'recent', 'improvements', 'mobile', 'app', 'new', 'features', 'excellent']","['happy', 'recent', 'improvement', 'mobile', 'app', 'new', 'feature', 'excellent']","[('happy', 'JJ'), ('recent', 'JJ'), ('improvement', 'NN'), ('mobile', 'NN'), ('app', 'VBP'), ('new', 'JJ'), ('feature', 'NN'), ('excellent', 'NN')]",[]
41,"I did not authorize the charge of ₹1,499 on my account. Please investigate this transaction.",Billing,Negative,High,15,i did not authorize the charge of on my account please investigate this transaction,"['i', 'did', 'not', 'authorize', 'the', 'charge', 'of', 'on', 'my', 'account', 'please', 'investigate', 'this', 'transaction']","['authorize', 'charge', 'account', 'please', 'investigate', 'transaction']","['authorize', 'charge', 'account', 'please', 'investigate', 'transaction']","[('authorize', 'VB'), ('charge', 'NN'), ('account', 'NN'), ('please', 'JJ'), ('investigate', 'JJ'), ('transaction', 'NN')]","[{'text': '1,499', 'label': 'MONEY'}]"
