id,email_text,category,sentiment,priority,email_length,clean_text,tokens,tokens_no_stopwords,lemmatized_tokens
11,"My credit card ending in 1234 was charged ₹10,000 but I never received a confirmation email.",Billing,Neutral,High,16,my credit card ending in was charged but i never received a confirmation email,"['my', 'credit', 'card', 'ending', 'in', 'was', 'charged', 'but', 'i', 'never', 'received', 'a', 'confirmation', 'email']","['credit', 'card', 'ending', 'charged', 'never', 'received', 'confirmation', 'email']","['credit', 'card', 'ending', 'charged', 'never', 'received', 'confirmation', 'email']"
12,I need to update my mobile number linked to my account from +91-7654321098 to +91-8877665544.,Account,Negative,Critical,15,i need to update my mobile number linked to my account from to,"['i', 'need', 'to', 'update', 'my', 'mobile', 'number', 'linked', 'to', 'my', 'account', 'from', 'to']","['need', 'update', 'mobile', 'number', 'linked', 'account']","['need', 'update', 'mobile', 'number', 'linked', 'account']"
13,I cannot access my account after I changed my phone number. The OTP is going to the old number.,Account,Neutral,High,19,i cannot access my account after i changed my phone number the otp is going to the old number,"['i', 'can', 'not', 'access', 'my', 'account', 'after', 'i', 'changed', 'my', 'phone', 'number', 'the', 'otp', 'is', 'going', 'to', 'the', 'old', 'number']","['access', 'account', 'changed', 'phone', 'number', 'otp', 'going', 'old', 'number']","['access', 'account', 'changed', 'phone', 'number', 'otp', 'going', 'old', 'number']"
14,My credit card ending in 5678 was charged $299 but I never received a confirmation email.,Billing,Neutral,Medium,16,my credit card ending in was charged but i never received a confirmation email,"['my', 'credit', 'card', 'ending', 'in', 'was', 'charged', 'but', 'i', 'never', 'received', 'a', 'confirmation', 'email']","['credit', 'card', 'ending', 'charged', 'never', 'received', 'confirmation', 'email']","['credit', 'card', 'ending', 'charged', 'never', 'received', 'confirmation', 'email']"
15,I am unable to change my username. The option is greyed out in account settings.,Account,Neutral,Critical,15,i am unable to change my username the option is greyed out in account settings,"['i', 'am', 'unable', 'to', 'change', 'my', 'username', 'the', 'option', 'is', 'greyed', 'out', 'in', 'account', 'settings']","['unable', 'change', 'username', 'option', 'greyed', 'account', 'settings']","['unable', 'change', 'username', 'option', 'greyed', 'account', 'setting']"
16,The video tutorials on your website are outdated and do not reflect the current version of the software.,Feedback,Positive,Low,18,the video tutorials on your website are outdated and do not reflect the current version of the software,"['the', 'video', 'tutorials', 'on', 'your', 'website', 'are', 'outdated', 'and', 'do', 'not', 'reflect', 'the', 'current', 'version', 'of', 'the', 'software']","['video', 'tutorials', 'website', 'outdated', 'reflect', 'current', 'version', 'software']","['video', 'tutorial', 'website', 'outdated', 'reflect', 'current', 'version', 'software']"
17,What happens to my data if I decide to cancel my subscription? How long is data retained?,General Inquiry,Positive,Low,17,what happens to my data if i decide to cancel my subscription how long is data retained,"['what', 'happens', 'to', 'my', 'data', 'if', 'i', 'decide', 'to', 'cancel', 'my', 'subscription', 'how', 'long', 'is', 'data', 'retained']","['happens', 'data', 'decide', 'cancel', 'subscription', 'long', 'data', 'retained']","['happens', 'data', 'decide', 'cancel', 'subscription', 'long', 'data', 'retained']"
18,The mobile app is draining my battery too fast. It consumes 30% battery in just 2 hours.,Technical,Neutral,High,17,the mobile app is draining my battery too fast it consumes battery in just hours,"['the', 'mobile', 'app', 'is', 'draining', 'my', 'battery', 'too', 'fast', 'it', 'consumes', 'battery', 'in', 'just', 'hours']","['mobile', 'app', 'draining', 'battery', 'fast', 'consumes', 'battery', 'hours']","['mobile', 'app', 'draining', 'battery', 'fast', 'consumes', 'battery', 'hour']"
19,What are your support hours and what is the average response time for technical issues?,General Inquiry,Positive,Low,15,what are your support hours and what is the average response time for technical issues,"['what', 'are', 'your', 'support', 'hours', 'and', 'what', 'is', 'the', 'average', 'response', 'time', 'for', 'technical', 'issues']","['support', 'hours', 'average', 'response', 'time', 'technical', 'issues']","['support', 'hour', 'average', 'response', 'time', 'technical', 'issue']"
20,"I want to request a full refund for my order #ORD-66123 placed on April 18, 2026. The product was defective.",Refund,Negative,High,20,i want to request a full refund for my order ord placed on april the product was defective,"['i', 'want', 'to', 'request', 'a', 'full', 'refund', 'for', 'my', 'order', 'ord', 'placed', 'on', 'april', 'the', 'product', 'was', 'defective']","['want', 'request', 'full', 'refund', 'order', 'ord', 'placed', 'april', 'product', 'defective']","['want', 'request', 'full', 'refund', 'order', 'ord', 'placed', 'april', 'product', 'defective']"
21,My payment of $299 was deducted but the order was not confirmed. Please check and resolve this issue.,Billing,Negative,Medium,18,my payment of was deducted but the order was not confirmed please check and resolve this issue,"['my', 'payment', 'of', 'was', 'deducted', 'but', 'the', 'order', 'was', 'not', 'confirmed', 'please', 'check', 'and', 'resolve', 'this', 'issue']","['payment', 'deducted', 'order', 'confirmed', 'please', 'check', 'resolve', 'issue']","['payment', 'deducted', 'order', 'confirmed', 'please', 'check', 'resolve', 'issue']"
22,"I was promised a callback within 24 hours on November 20, 2025 but no one called. This is unacceptable.",Complaint,Neutral,High,19,i was promised a callback within hours on november but no one called this is unacceptable,"['i', 'was', 'promised', 'a', 'callback', 'within', 'hours', 'on', 'november', 'but', 'no', 'one', 'called', 'this', 'is', 'unacceptable']","['promised', 'callback', 'within', 'hours', 'november', 'one', 'called', 'unacceptable']","['promised', 'callback', 'within', 'hour', 'november', 'one', 'called', 'unacceptable']"
23,Can you confirm if your service is available in Singapore and if pricing is in local currency?,General Inquiry,Neutral,Medium,17,can you confirm if your service is available in singapore and if pricing is in local currency,"['can', 'you', 'confirm', 'if', 'your', 'service', 'is', 'available', 'in', 'singapore', 'and', 'if', 'pricing', 'is', 'in', 'local', 'currency']","['confirm', 'service', 'available', 'singapore', 'pricing', 'local', 'currency']","['confirm', 'service', 'available', 'singapore', 'pricing', 'local', 'currency']"
24,I cannot integrate your service with Slack. The API key authentication is failing.,Technical,Negative,High,13,i cannot integrate your service with slack the api key authentication is failing,"['i', 'can', 'not', 'integrate', 'your', 'service', 'with', 'slack', 'the', 'api', 'key', 'authentication', 'is', 'failing']","['integrate', 'service', 'slack', 'api', 'key', 'authentication', 'failing']","['integrate', 'service', 'slack', 'api', 'key', 'authentication', 'failing']"
25,My profile picture is not updating despite uploading multiple times. The old photo keeps showing.,Account,Negative,Critical,15,my profile picture is not updating despite uploading multiple times the old photo keeps showing,"['my', 'profile', 'picture', 'is', 'not', 'updating', 'despite', 'uploading', 'multiple', 'times', 'the', 'old', 'photo', 'keeps', 'showing']","['profile', 'picture', 'updating', 'despite', 'uploading', 'multiple', 'times', 'old', 'photo', 'keeps', 'showing']","['profile', 'picture', 'updating', 'despite', 'uploading', 'multiple', 'time', 'old', 'photo', 'keep', 'showing']"
26,The calendar sync with Google Calendar is not reflecting the correct time zone.,Technical,Negative,Critical,13,the calendar sync with google calendar is not reflecting the correct time zone,"['the', 'calendar', 'sync', 'with', 'google', 'calendar', 'is', 'not', 'reflecting', 'the', 'correct', 'time', 'zone']","['calendar', 'sync', 'google', 'calendar', 'reflecting', 'correct', 'time', 'zone']","['calendar', 'sync', 'google', 'calendar', 'reflecting', 'correct', 'time', 'zone']"
27,"I have not received my refund of $299 that was approved on January 5, 2026. Please provide an update.",Billing,Negative,High,19,i have not received my refund of that was approved on january please provide an update,"['i', 'have', 'not', 'received', 'my', 'refund', 'of', 'that', 'was', 'approved', 'on', 'january', 'please', 'provide', 'an', 'update']","['received', 'refund', 'approved', 'january', 'please', 'provide', 'update']","['received', 'refund', 'approved', 'january', 'please', 'provide', 'update']"
28,The response time of your support team has improved considerably over the last few months. Well done.,Feedback,Negative,Medium,17,the response time of your support team has improved considerably over the last few months well done,"['the', 'response', 'time', 'of', 'your', 'support', 'team', 'has', 'improved', 'considerably', 'over', 'the', 'last', 'few', 'months', 'well', 'done']","['response', 'time', 'support', 'team', 'improved', 'considerably', 'last', 'months', 'well', 'done']","['response', 'time', 'support', 'team', 'improved', 'considerably', 'last', 'month', 'well', 'done']"
29,I have been experiencing frequent session timeouts every 30 minutes even while actively using the app.,Technical,Neutral,High,16,i have been experiencing frequent session timeouts every minutes even while actively using the app,"['i', 'have', 'been', 'experiencing', 'frequent', 'session', 'timeouts', 'every', 'minutes', 'even', 'while', 'actively', 'using', 'the', 'app']","['experiencing', 'frequent', 'session', 'timeouts', 'every', 'minutes', 'even', 'actively', 'using', 'app']","['experiencing', 'frequent', 'session', 'timeouts', 'every', 'minute', 'even', 'actively', 'using', 'app']"
30,I am unable to export my data in CSV format. The export button does not respond when clicked.,Technical,Negative,High,18,i am unable to export my data in csv format the export button does not respond when clicked,"['i', 'am', 'unable', 'to', 'export', 'my', 'data', 'in', 'csv', 'format', 'the', 'export', 'button', 'does', 'not', 'respond', 'when', 'clicked']","['unable', 'export', 'data', 'csv', 'format', 'export', 'button', 'respond', 'clicked']","['unable', 'export', 'data', 'csv', 'format', 'export', 'button', 'respond', 'clicked']"
31,"I was overcharged by ₹10,000 on my last order. Please refund the excess amount to my card.",Refund,Negative,High,17,i was overcharged by on my last order please refund the excess amount to my card,"['i', 'was', 'overcharged', 'by', 'on', 'my', 'last', 'order', 'please', 'refund', 'the', 'excess', 'amount', 'to', 'my', 'card']","['overcharged', 'last', 'order', 'please', 'refund', 'excess', 'amount', 'card']","['overcharged', 'last', 'order', 'please', 'refund', 'excess', 'amount', 'card']"
32,"The payment gateway shows my transaction of ₹5,000 as pending for the last 21 days. Please resolve.",Billing,Negative,High,17,the payment gateway shows my transaction of as pending for the last days please resolve,"['the', 'payment', 'gateway', 'shows', 'my', 'transaction', 'of', 'as', 'pending', 'for', 'the', 'last', 'days', 'please', 'resolve']","['payment', 'gateway', 'shows', 'transaction', 'pending', 'last', 'days', 'please', 'resolve']","['payment', 'gateway', 'show', 'transaction', 'pending', 'last', 'day', 'please', 'resolve']"
33,"The service was not delivered as promised. I am requesting a partial refund of ₹5,000.",Refund,Neutral,Medium,15,the service was not delivered as promised i am requesting a partial refund of,"['the', 'service', 'was', 'not', 'delivered', 'as', 'promised', 'i', 'am', 'requesting', 'a', 'partial', 'refund', 'of']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']"
34,"Please update my billing address on my account. My new address is 123 MG Road, Bangalore, KA 560001.",Billing,Neutral,Medium,18,please update my billing address on my account my new address is mg road bangalore ka,"['please', 'update', 'my', 'billing', 'address', 'on', 'my', 'account', 'my', 'new', 'address', 'is', 'mg', 'road', 'bangalore', 'ka']","['please', 'update', 'billing', 'address', 'account', 'new', 'address', 'mg', 'road', 'bangalore', 'ka']","['please', 'update', 'billing', 'address', 'account', 'new', 'address', 'mg', 'road', 'bangalore', 'ka']"
35,The service was not delivered as promised. I am requesting a partial refund of ₹999.,Refund,Neutral,Medium,15,the service was not delivered as promised i am requesting a partial refund of,"['the', 'service', 'was', 'not', 'delivered', 'as', 'promised', 'i', 'am', 'requesting', 'a', 'partial', 'refund', 'of']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']"
36,"The search functionality is broken. When I search for settings, no results are displayed.",Technical,Negative,High,14,the search functionality is broken when i search for settings no results are displayed,"['the', 'search', 'functionality', 'is', 'broken', 'when', 'i', 'search', 'for', 'settings', 'no', 'results', 'are', 'displayed']","['search', 'functionality', 'broken', 'search', 'settings', 'results', 'displayed']","['search', 'functionality', 'broken', 'search', 'setting', 'result', 'displayed']"
37,"I was promised a callback within 24 hours on November 20, 2025 but no one called. This is unacceptable.",Complaint,Neutral,High,19,i was promised a callback within hours on november but no one called this is unacceptable,"['i', 'was', 'promised', 'a', 'callback', 'within', 'hours', 'on', 'november', 'but', 'no', 'one', 'called', 'this', 'is', 'unacceptable']","['promised', 'callback', 'within', 'hours', 'november', 'one', 'called', 'unacceptable']","['promised', 'callback', 'within', 'hour', 'november', 'one', 'called', 'unacceptable']"
38,The new report generation feature is fantastic but it would be better if we could schedule automated reports.,Feedback,Negative,Low,18,the new report generation feature is fantastic but it would be better if we could schedule automated reports,"['the', 'new', 'report', 'generation', 'feature', 'is', 'fantastic', 'but', 'it', 'would', 'be', 'better', 'if', 'we', 'could', 'schedule', 'automated', 'reports']","['new', 'report', 'generation', 'feature', 'fantastic', 'would', 'better', 'could', 'schedule', 'automated', 'reports']","['new', 'report', 'generation', 'feature', 'fantastic', 'would', 'better', 'could', 'schedule', 'automated', 'report']"
39,The refund status on my dashboard shows processing for the last 3 days. When will it be credited?,Refund,Negative,High,18,the refund status on my dashboard shows processing for the last days when will it be credited,"['the', 'refund', 'status', 'on', 'my', 'dashboard', 'shows', 'processing', 'for', 'the', 'last', 'days', 'when', 'will', 'it', 'be', 'credited']","['refund', 'status', 'dashboard', 'shows', 'processing', 'last', 'days', 'credited']","['refund', 'status', 'dashboard', 'show', 'processing', 'last', 'day', 'credited']"
40,I am very happy with the recent improvements to the mobile app. The new features are excellent.,Feedback,Negative,Medium,17,i am very happy with the recent improvements to the mobile app the new features are excellent,"['i', 'am', 'very', 'happy', 'with', 'the', 'recent', 'improvements', 'to', 'the', 'mobile', 'app', 'the', 'new', 'features', 'are', 'excellent']","['happy', 'recent', 'improvements', 'mobile', 'app', 'new', 'features', 'excellent']","['happy', 'recent', 'improvement', 'mobile', 'app', 'new', 'feature', 'excellent']"
41,"I did not authorize the charge of ₹1,499 on my account. Please investigate this transaction.",Billing,Negative,High,15,i did not authorize the charge of on my account please investigate this transaction,"['i', 'did', 'not', 'authorize', 'the', 'charge', 'of', 'on', 'my', 'account', 'please', 'investigate', 'this', 'transaction']","['authorize', 'charge', 'account', 'please', 'investigate', 'transaction']","['authorize', 'charge', 'account', 'please', 'investigate', 'transaction']"
42,I am filing a formal complaint about the misleading information provided on your website regarding pricing.,Complaint,Neutral,Critical,16,i am filing a formal complaint about the misleading information provided on your website regarding pricing,"['i', 'am', 'filing', 'a', 'formal', 'complaint', 'about', 'the', 'misleading', 'information', 'provided', 'on', 'your', 'website', 'regarding', 'pricing']","['filing', 'formal', 'complaint', 'misleading', 'information', 'provided', 'website', 'regarding', 'pricing']","['filing', 'formal', 'complaint', 'misleading', 'information', 'provided', 'website', 'regarding', 'pricing']"
43,The browser extension is conflicting with other extensions and causing my browser to crash.,Technical,Neutral,High,14,the browser extension is conflicting with other extensions and causing my browser to crash,"['the', 'browser', 'extension', 'is', 'conflicting', 'with', 'other', 'extensions', 'and', 'causing', 'my', 'browser', 'to', 'crash']","['browser', 'extension', 'conflicting', 'extensions', 'causing', 'browser', 'crash']","['browser', 'extension', 'conflicting', 'extension', 'causing', 'browser', 'crash']"
44,My account was suspended without any prior notice or explanation. Please tell me the reason.,Account,Negative,High,15,my account was suspended without any prior notice or explanation please tell me the reason,"['my', 'account', 'was', 'suspended', 'without', 'any', 'prior', 'notice', 'or', 'explanation', 'please', 'tell', 'me', 'the', 'reason']","['account', 'suspended', 'without', 'prior', 'notice', 'explanation', 'please', 'tell', 'reason']","['account', 'suspended', 'without', 'prior', 'notice', 'explanation', 'please', 'tell', 'reason']"
45,What security measures does your company take to protect customer data and prevent unauthorized access?,General Inquiry,Positive,Low,15,what security measures does your company take to protect customer data and prevent unauthorized access,"['what', 'security', 'measures', 'does', 'your', 'company', 'take', 'to', 'protect', 'customer', 'data', 'and', 'prevent', 'unauthorized', 'access']","['security', 'measures', 'company', 'take', 'protect', 'customer', 'data', 'prevent', 'unauthorized', 'access']","['security', 'measure', 'company', 'take', 'protect', 'customer', 'data', 'prevent', 'unauthorized', 'access']"
46,My account shows outstanding balance of $299 but I have already paid. Please verify and update.,Billing,Negative,Medium,16,my account shows outstanding balance of but i have already paid please verify and update,"['my', 'account', 'shows', 'outstanding', 'balance', 'of', 'but', 'i', 'have', 'already', 'paid', 'please', 'verify', 'and', 'update']","['account', 'shows', 'outstanding', 'balance', 'already', 'paid', 'please', 'verify', 'update']","['account', 'show', 'outstanding', 'balance', 'already', 'paid', 'please', 'verify', 'update']"
47,"Please update my billing address on my account. My new address is 123 MG Road, Bangalore, KA 560001.",Billing,Negative,High,18,please update my billing address on my account my new address is mg road bangalore ka,"['please', 'update', 'my', 'billing', 'address', 'on', 'my', 'account', 'my', 'new', 'address', 'is', 'mg', 'road', 'bangalore', 'ka']","['please', 'update', 'billing', 'address', 'account', 'new', 'address', 'mg', 'road', 'bangalore', 'ka']","['please', 'update', 'billing', 'address', 'account', 'new', 'address', 'mg', 'road', 'bangalore', 'ka']"
48,What are your support hours and what is the average response time for technical issues?,General Inquiry,Positive,Medium,15,what are your support hours and what is the average response time for technical issues,"['what', 'are', 'your', 'support', 'hours', 'and', 'what', 'is', 'the', 'average', 'response', 'time', 'for', 'technical', 'issues']","['support', 'hours', 'average', 'response', 'time', 'technical', 'issues']","['support', 'hour', 'average', 'response', 'time', 'technical', 'issue']"
49,Please help me transfer my account data to a new account that I have created with a different email.,Account,Negative,High,19,please help me transfer my account data to a new account that i have created with a different email,"['please', 'help', 'me', 'transfer', 'my', 'account', 'data', 'to', 'a', 'new', 'account', 'that', 'i', 'have', 'created', 'with', 'a', 'different', 'email']","['please', 'help', 'transfer', 'account', 'data', 'new', 'account', 'created', 'different', 'email']","['please', 'help', 'transfer', 'account', 'data', 'new', 'account', 'created', 'different', 'email']"
50,My account was suspended without any prior notice or explanation. Please tell me the reason.,Account,Neutral,Critical,15,my account was suspended without any prior notice or explanation please tell me the reason,"['my', 'account', 'was', 'suspended', 'without', 'any', 'prior', 'notice', 'or', 'explanation', 'please', 'tell', 'me', 'the', 'reason']","['account', 'suspended', 'without', 'prior', 'notice', 'explanation', 'please', 'tell', 'reason']","['account', 'suspended', 'without', 'prior', 'notice', 'explanation', 'please', 'tell', 'reason']"
51,"I was charged for a service I never used. Please process a refund of ₹15,000 to my account.",Refund,Neutral,Medium,18,i was charged for a service i never used please process a refund of to my account,"['i', 'was', 'charged', 'for', 'a', 'service', 'i', 'never', 'used', 'please', 'process', 'a', 'refund', 'of', 'to', 'my', 'account']","['charged', 'service', 'never', 'used', 'please', 'process', 'refund', 'account']","['charged', 'service', 'never', 'used', 'please', 'process', 'refund', 'account']"
52,"I paid ₹5,000 via UPI but the payment failed and money was deducted from my bank account.",Billing,Negative,High,17,i paid via upi but the payment failed and money was deducted from my bank account,"['i', 'paid', 'via', 'upi', 'but', 'the', 'payment', 'failed', 'and', 'money', 'was', 'deducted', 'from', 'my', 'bank', 'account']","['paid', 'via', 'upi', 'payment', 'failed', 'money', 'deducted', 'bank', 'account']","['paid', 'via', 'upi', 'payment', 'failed', 'money', 'deducted', 'bank', 'account']"
53,I am very happy with the recent improvements to the mobile app. The new features are excellent.,Feedback,Positive,Medium,17,i am very happy with the recent improvements to the mobile app the new features are excellent,"['i', 'am', 'very', 'happy', 'with', 'the', 'recent', 'improvements', 'to', 'the', 'mobile', 'app', 'the', 'new', 'features', 'are', 'excellent']","['happy', 'recent', 'improvements', 'mobile', 'app', 'new', 'features', 'excellent']","['happy', 'recent', 'improvement', 'mobile', 'app', 'new', 'feature', 'excellent']"
54,"The payment gateway shows my transaction of ₹3,500 as pending for the last 14 days. Please resolve.",Billing,Neutral,High,17,the payment gateway shows my transaction of as pending for the last days please resolve,"['the', 'payment', 'gateway', 'shows', 'my', 'transaction', 'of', 'as', 'pending', 'for', 'the', 'last', 'days', 'please', 'resolve']","['payment', 'gateway', 'shows', 'transaction', 'pending', 'last', 'days', 'please', 'resolve']","['payment', 'gateway', 'show', 'transaction', 'pending', 'last', 'day', 'please', 'resolve']"
55,I have been waiting for a resolution for 21 days and no one has bothered to follow up with me.,Complaint,Negative,High,20,i have been waiting for a resolution for days and no one has bothered to follow up with me,"['i', 'have', 'been', 'waiting', 'for', 'a', 'resolution', 'for', 'days', 'and', 'no', 'one', 'has', 'bothered', 'to', 'follow', 'up', 'with', 'me']","['waiting', 'resolution', 'days', 'one', 'bothered', 'follow']","['waiting', 'resolution', 'day', 'one', 'bothered', 'follow']"
56,"I am getting error code ERR_AUTH_FAIL when trying to log in to the system. This has been happening since February 12, 2026.",Technical,Neutral,Critical,22,i am getting error code err auth fail when trying to log in to the system this has been happening since february,"['i', 'am', 'getting', 'error', 'code', 'err', 'auth', 'fail', 'when', 'trying', 'to', 'log', 'in', 'to', 'the', 'system', 'this', 'has', 'been', 'happening', 'since', 'february']","['getting', 'error', 'code', 'err', 'auth', 'fail', 'trying', 'log', 'system', 'happening', 'since', 'february']","['getting', 'error', 'code', 'err', 'auth', 'fail', 'trying', 'log', 'system', 'happening', 'since', 'february']"
57,I am unable to reset my password. The reset link sent to myemail@hotmail.com is not working.,Account,Negative,High,16,i am unable to reset my password the reset link sent to is not working,"['i', 'am', 'unable', 'to', 'reset', 'my', 'password', 'the', 'reset', 'link', 'sent', 'to', 'is', 'not', 'working']","['unable', 'reset', 'password', 'reset', 'link', 'sent', 'working']","['unable', 'reset', 'password', 'reset', 'link', 'sent', 'working']"
58,What happens to my data if I decide to cancel my subscription? How long is data retained?,General Inquiry,Neutral,Low,17,what happens to my data if i decide to cancel my subscription how long is data retained,"['what', 'happens', 'to', 'my', 'data', 'if', 'i', 'decide', 'to', 'cancel', 'my', 'subscription', 'how', 'long', 'is', 'data', 'retained']","['happens', 'data', 'decide', 'cancel', 'subscription', 'long', 'data', 'retained']","['happens', 'data', 'decide', 'cancel', 'subscription', 'long', 'data', 'retained']"
59,Is there a free trial available for your enterprise plan? How long is the trial period?,General Inquiry,Neutral,Medium,16,is there a free trial available for your enterprise plan how long is the trial period,"['is', 'there', 'a', 'free', 'trial', 'available', 'for', 'your', 'enterprise', 'plan', 'how', 'long', 'is', 'the', 'trial', 'period']","['free', 'trial', 'available', 'enterprise', 'plan', 'long', 'trial', 'period']","['free', 'trial', 'available', 'enterprise', 'plan', 'long', 'trial', 'period']"
60,Your chatbot is useless and keeps giving me irrelevant answers. I need to speak to a human agent.,Complaint,Negative,Critical,18,your chatbot is useless and keeps giving me irrelevant answers i need to speak to a human agent,"['your', 'chatbot', 'is', 'useless', 'and', 'keeps', 'giving', 'me', 'irrelevant', 'answers', 'i', 'need', 'to', 'speak', 'to', 'a', 'human', 'agent']","['chatbot', 'useless', 'keeps', 'giving', 'irrelevant', 'answers', 'need', 'speak', 'human', 'agent']","['chatbot', 'useless', 'keep', 'giving', 'irrelevant', 'answer', 'need', 'speak', 'human', 'agent']"
61,"The product arrived damaged and I sent it back. My refund of ₹2,000 has not been initiated yet.",Refund,Negative,Medium,18,the product arrived damaged and i sent it back my refund of has not been initiated yet,"['the', 'product', 'arrived', 'damaged', 'and', 'i', 'sent', 'it', 'back', 'my', 'refund', 'of', 'has', 'not', 'been', 'initiated', 'yet']","['product', 'arrived', 'damaged', 'sent', 'back', 'refund', 'initiated', 'yet']","['product', 'arrived', 'damaged', 'sent', 'back', 'refund', 'initiated', 'yet']"
62,The dashboard is not loading properly on Internet Explorer 11. Graphs are not displaying.,Technical,Negative,Critical,14,the dashboard is not loading properly on internet explorer graphs are not displaying,"['the', 'dashboard', 'is', 'not', 'loading', 'properly', 'on', 'internet', 'explorer', 'graphs', 'are', 'not', 'displaying']","['dashboard', 'loading', 'properly', 'internet', 'explorer', 'graphs', 'displaying']","['dashboard', 'loading', 'properly', 'internet', 'explorer', 'graph', 'displaying']"
