id,email_text,category,sentiment,priority,email_length,clean_text,tokens
38,The new report generation feature is fantastic but it would be better if we could schedule automated reports.,Feedback,Negative,Low,18,the new report generation feature is fantastic but it would be better if we could schedule automated reports,"['the', 'new', 'report', 'generation', 'feature', 'is', 'fantastic', 'but', 'it', 'would', 'be', 'better', 'if', 'we', 'could', 'schedule', 'automated', 'reports']"
39,The refund status on my dashboard shows processing for the last 3 days. When will it be credited?,Refund,Negative,High,18,the refund status on my dashboard shows processing for the last days when will it be credited,"['the', 'refund', 'status', 'on', 'my', 'dashboard', 'shows', 'processing', 'for', 'the', 'last', 'days', 'when', 'will', 'it', 'be', 'credited']"
40,I am very happy with the recent improvements to the mobile app. The new features are excellent.,Feedback,Negative,Medium,17,i am very happy with the recent improvements to the mobile app the new features are excellent,"['i', 'am', 'very', 'happy', 'with', 'the', 'recent', 'improvements', 'to', 'the', 'mobile', 'app', 'the', 'new', 'features', 'are', 'excellent']"
41,"I did not authorize the charge of ₹1,499 on my account. Please investigate this transaction.",Billing,Negative,High,15,i did not authorize the charge of on my account please investigate this transaction,"['i', 'did', 'not', 'authorize', 'the', 'charge', 'of', 'on', 'my', 'account', 'please', 'investigate', 'this', 'transaction']"
42,I am filing a formal complaint about the misleading information provided on your website regarding pricing.,Complaint,Neutral,Critical,16,i am filing a formal complaint about the misleading information provided on your website regarding pricing,"['i', 'am', 'filing', 'a', 'formal', 'complaint', 'about', 'the', 'misleading', 'information', 'provided', 'on', 'your', 'website', 'regarding', 'pricing']"
43,The browser extension is conflicting with other extensions and causing my browser to crash.,Technical,Neutral,High,14,the browser extension is conflicting with other extensions and causing my browser to crash,"['the', 'browser', 'extension', 'is', 'conflicting', 'with', 'other', 'extensions', 'and', 'causing', 'my', 'browser', 'to', 'crash']"
44,My account was suspended without any prior notice or explanation. Please tell me the reason.,Account,Negative,High,15,my account was suspended without any prior notice or explanation please tell me the reason,"['my', 'account', 'was', 'suspended', 'without', 'any', 'prior', 'notice', 'or', 'explanation', 'please', 'tell', 'me', 'the', 'reason']"
45,What security measures does your company take to protect customer data and prevent unauthorized access?,General Inquiry,Positive,Low,15,what security measures does your company take to protect customer data and prevent unauthorized access,"['what', 'security', 'measures', 'does', 'your', 'company', 'take', 'to', 'protect', 'customer', 'data', 'and', 'prevent', 'unauthorized', 'access']"
46,My account shows outstanding balance of $299 but I have already paid. Please verify and update.,Billing,Negative,Medium,16,my account shows outstanding balance of but i have already paid please verify and update,"['my', 'account', 'shows', 'outstanding', 'balance', 'of', 'but', 'i', 'have', 'already', 'paid', 'please', 'verify', 'and', 'update']"
47,"Please update my billing address on my account. My new address is 123 MG Road, Bangalore, KA 560001.",Billing,Negative,High,18,please update my billing address on my account my new address is mg road bangalore ka,"['please', 'update', 'my', 'billing', 'address', 'on', 'my', 'account', 'my', 'new', 'address', 'is', 'mg', 'road', 'bangalore', 'ka']"
48,What are your support hours and what is the average response time for technical issues?,General Inquiry,Positive,Medium,15,what are your support hours and what is the average response time for technical issues,"['what', 'are', 'your', 'support', 'hours', 'and', 'what', 'is', 'the', 'average', 'response', 'time', 'for', 'technical', 'issues']"
49,Please help me transfer my account data to a new account that I have created with a different email.,Account,Negative,High,19,please help me transfer my account data to a new account that i have created with a different email,"['please', 'help', 'me', 'transfer', 'my', 'account', 'data', 'to', 'a', 'new', 'account', 'that', 'i', 'have', 'created', 'with', 'a', 'different', 'email']"
50,My account was suspended without any prior notice or explanation. Please tell me the reason.,Account,Neutral,Critical,15,my account was suspended without any prior notice or explanation please tell me the reason,"['my', 'account', 'was', 'suspended', 'without', 'any', 'prior', 'notice', 'or', 'explanation', 'please', 'tell', 'me', 'the', 'reason']"
51,"I was charged for a service I never used. Please process a refund of ₹15,000 to my account.",Refund,Neutral,Medium,18,i was charged for a service i never used please process a refund of to my account,"['i', 'was', 'charged', 'for', 'a', 'service', 'i', 'never', 'used', 'please', 'process', 'a', 'refund', 'of', 'to', 'my', 'account']"
52,"I paid ₹5,000 via UPI but the payment failed and money was deducted from my bank account.",Billing,Negative,High,17,i paid via upi but the payment failed and money was deducted from my bank account,"['i', 'paid', 'via', 'upi', 'but', 'the', 'payment', 'failed', 'and', 'money', 'was', 'deducted', 'from', 'my', 'bank', 'account']"
53,I am very happy with the recent improvements to the mobile app. The new features are excellent.,Feedback,Positive,Medium,17,i am very happy with the recent improvements to the mobile app the new features are excellent,"['i', 'am', 'very', 'happy', 'with', 'the', 'recent', 'improvements', 'to', 'the', 'mobile', 'app', 'the', 'new', 'features', 'are', 'excellent']"
54,"The payment gateway shows my transaction of ₹3,500 as pending for the last 14 days. Please resolve.",Billing,Neutral,High,17,the payment gateway shows my transaction of as pending for the last days please resolve,"['the', 'payment', 'gateway', 'shows', 'my', 'transaction', 'of', 'as', 'pending', 'for', 'the', 'last', 'days', 'please', 'resolve']"
55,I have been waiting for a resolution for 21 days and no one has bothered to follow up with me.,Complaint,Negative,High,20,i have been waiting for a resolution for days and no one has bothered to follow up with me,"['i', 'have', 'been', 'waiting', 'for', 'a', 'resolution', 'for', 'days', 'and', 'no', 'one', 'has', 'bothered', 'to', 'follow', 'up', 'with', 'me']"
56,"I am getting error code ERR_AUTH_FAIL when trying to log in to the system. This has been happening since February 12, 2026.",Technical,Neutral,Critical,22,i am getting error code err auth fail when trying to log in to the system this has been happening since february,"['i', 'am', 'getting', 'error', 'code', 'err', 'auth', 'fail', 'when', 'trying', 'to', 'log', 'in', 'to', 'the', 'system', 'this', 'has', 'been', 'happening', 'since', 'february']"
57,I am unable to reset my password. The reset link sent to myemail@hotmail.com is not working.,Account,Negative,High,16,i am unable to reset my password the reset link sent to is not working,"['i', 'am', 'unable', 'to', 'reset', 'my', 'password', 'the', 'reset', 'link', 'sent', 'to', 'is', 'not', 'working']"
58,What happens to my data if I decide to cancel my subscription? How long is data retained?,General Inquiry,Neutral,Low,17,what happens to my data if i decide to cancel my subscription how long is data retained,"['what', 'happens', 'to', 'my', 'data', 'if', 'i', 'decide', 'to', 'cancel', 'my', 'subscription', 'how', 'long', 'is', 'data', 'retained']"
59,Is there a free trial available for your enterprise plan? How long is the trial period?,General Inquiry,Neutral,Medium,16,is there a free trial available for your enterprise plan how long is the trial period,"['is', 'there', 'a', 'free', 'trial', 'available', 'for', 'your', 'enterprise', 'plan', 'how', 'long', 'is', 'the', 'trial', 'period']"
60,Your chatbot is useless and keeps giving me irrelevant answers. I need to speak to a human agent.,Complaint,Negative,Critical,18,your chatbot is useless and keeps giving me irrelevant answers i need to speak to a human agent,"['your', 'chatbot', 'is', 'useless', 'and', 'keeps', 'giving', 'me', 'irrelevant', 'answers', 'i', 'need', 'to', 'speak', 'to', 'a', 'human', 'agent']"
61,"The product arrived damaged and I sent it back. My refund of ₹2,000 has not been initiated yet.",Refund,Negative,Medium,18,the product arrived damaged and i sent it back my refund of has not been initiated yet,"['the', 'product', 'arrived', 'damaged', 'and', 'i', 'sent', 'it', 'back', 'my', 'refund', 'of', 'has', 'not', 'been', 'initiated', 'yet']"
62,The dashboard is not loading properly on Internet Explorer 11. Graphs are not displaying.,Technical,Negative,Critical,14,the dashboard is not loading properly on internet explorer graphs are not displaying,"['the', 'dashboard', 'is', 'not', 'loading', 'properly', 'on', 'internet', 'explorer', 'graphs', 'are', 'not', 'displaying']"
63,The two-factor authentication code is not being delivered to my phone number +91-7654321098.,Technical,Negative,Critical,13,the two factor authentication code is not being delivered to my phone number,"['the', 'two', 'factor', 'authentication', 'code', 'is', 'not', 'being', 'delivered', 'to', 'my', 'phone', 'number']"
64,The onboarding process is too complicated for new users. A guided tutorial would be very helpful.,Feedback,Negative,Low,16,the onboarding process is too complicated for new users a guided tutorial would be very helpful,"['the', 'onboarding', 'process', 'is', 'too', 'complicated', 'for', 'new', 'users', 'a', 'guided', 'tutorial', 'would', 'be', 'very', 'helpful']"
65,"The installation technician who visited my home on November 20, 2025 was unprofessional and left a mess.",Complaint,Negative,High,17,the installation technician who visited my home on november was unprofessional and left a mess,"['the', 'installation', 'technician', 'who', 'visited', 'my', 'home', 'on', 'november', 'was', 'unprofessional', 'and', 'left', 'a', 'mess']"
66,I forgot the answer to my security question and cannot recover my account through the normal process.,Account,Neutral,Critical,17,i forgot the answer to my security question and cannot recover my account through the normal process,"['i', 'forgot', 'the', 'answer', 'to', 'my', 'security', 'question', 'and', 'can', 'not', 'recover', 'my', 'account', 'through', 'the', 'normal', 'process']"
67,I would love to have a bulk action feature that allows me to update multiple records at once.,Feedback,Negative,Medium,18,i would love to have a bulk action feature that allows me to update multiple records at once,"['i', 'would', 'love', 'to', 'have', 'a', 'bulk', 'action', 'feature', 'that', 'allows', 'me', 'to', 'update', 'multiple', 'records', 'at', 'once']"
68,Do you offer any discounts for educational institutions or non-profit organizations?,General Inquiry,Positive,Medium,11,do you offer any discounts for educational institutions or non profit organizations,"['do', 'you', 'offer', 'any', 'discounts', 'for', 'educational', 'institutions', 'or', 'non', 'profit', 'organizations']"
69,The event was cancelled without any notice and I need a full refund for my ticket worth ₹999.,Refund,Neutral,High,18,the event was cancelled without any notice and i need a full refund for my ticket worth,"['the', 'event', 'was', 'cancelled', 'without', 'any', 'notice', 'and', 'i', 'need', 'a', 'full', 'refund', 'for', 'my', 'ticket', 'worth']"
70,The notification emails are going to spam even after whitelisting your domain. Please help.,Technical,Neutral,High,14,the notification emails are going to spam even after whitelisting your domain please help,"['the', 'notification', 'emails', 'are', 'going', 'to', 'spam', 'even', 'after', 'whitelisting', 'your', 'domain', 'please', 'help']"
71,"I paid ₹15,000 via UPI but the payment failed and money was deducted from my bank account.",Billing,Neutral,Medium,17,i paid via upi but the payment failed and money was deducted from my bank account,"['i', 'paid', 'via', 'upi', 'but', 'the', 'payment', 'failed', 'and', 'money', 'was', 'deducted', 'from', 'my', 'bank', 'account']"
72,I am filing a formal complaint about the misleading information provided on your website regarding pricing.,Complaint,Neutral,High,16,i am filing a formal complaint about the misleading information provided on your website regarding pricing,"['i', 'am', 'filing', 'a', 'formal', 'complaint', 'about', 'the', 'misleading', 'information', 'provided', 'on', 'your', 'website', 'regarding', 'pricing']"
73,What is the process for requesting a custom feature or reporting a product bug to your team?,General Inquiry,Neutral,Low,17,what is the process for requesting a custom feature or reporting a product bug to your team,"['what', 'is', 'the', 'process', 'for', 'requesting', 'a', 'custom', 'feature', 'or', 'reporting', 'a', 'product', 'bug', 'to', 'your', 'team']"
74,The new report generation feature is fantastic but it would be better if we could schedule automated reports.,Feedback,Positive,Medium,18,the new report generation feature is fantastic but it would be better if we could schedule automated reports,"['the', 'new', 'report', 'generation', 'feature', 'is', 'fantastic', 'but', 'it', 'would', 'be', 'better', 'if', 'we', 'could', 'schedule', 'automated', 'reports']"
75,Please add multi-language support to your platform. Many of my team members prefer their native language.,Feedback,Positive,Medium,16,please add multi language support to your platform many of my team members prefer their native language,"['please', 'add', 'multi', 'language', 'support', 'to', 'your', 'platform', 'many', 'of', 'my', 'team', 'members', 'prefer', 'their', 'native', 'language']"
76,I cannot access my account after I changed my phone number. The OTP is going to the old number.,Account,Neutral,High,19,i cannot access my account after i changed my phone number the otp is going to the old number,"['i', 'can', 'not', 'access', 'my', 'account', 'after', 'i', 'changed', 'my', 'phone', 'number', 'the', 'otp', 'is', 'going', 'to', 'the', 'old', 'number']"
77,I am unable to change my username. The option is greyed out in account settings.,Account,Negative,Critical,15,i am unable to change my username the option is greyed out in account settings,"['i', 'am', 'unable', 'to', 'change', 'my', 'username', 'the', 'option', 'is', 'greyed', 'out', 'in', 'account', 'settings']"
78,The delivery was 5 days late and the package arrived in a completely damaged condition.,Complaint,Negative,Critical,15,the delivery was days late and the package arrived in a completely damaged condition,"['the', 'delivery', 'was', 'days', 'late', 'and', 'the', 'package', 'arrived', 'in', 'a', 'completely', 'damaged', 'condition']"
79,I want to enable two-factor authentication on my account but the option is not available.,Account,Neutral,Critical,15,i want to enable two factor authentication on my account but the option is not available,"['i', 'want', 'to', 'enable', 'two', 'factor', 'authentication', 'on', 'my', 'account', 'but', 'the', 'option', 'is', 'not', 'available']"
80,What is the process for requesting a custom feature or reporting a product bug to your team?,General Inquiry,Neutral,Low,17,what is the process for requesting a custom feature or reporting a product bug to your team,"['what', 'is', 'the', 'process', 'for', 'requesting', 'a', 'custom', 'feature', 'or', 'reporting', 'a', 'product', 'bug', 'to', 'your', 'team']"
81,The mobile app is extremely slow and takes more than 20 seconds to load on my Samsung Galaxy S22.,Technical,Negative,High,19,the mobile app is extremely slow and takes more than seconds to load on my samsung galaxy s,"['the', 'mobile', 'app', 'is', 'extremely', 'slow', 'and', 'takes', 'more', 'than', 'seconds', 'to', 'load', 'on', 'my', 'samsung', 'galaxy', 's']"
82,I want to enable two-factor authentication on my account but the option is not available.,Account,Neutral,High,15,i want to enable two factor authentication on my account but the option is not available,"['i', 'want', 'to', 'enable', 'two', 'factor', 'authentication', 'on', 'my', 'account', 'but', 'the', 'option', 'is', 'not', 'available']"
83,"The billing amount of ₹1,499 does not match the quoted price of $39.99. Please clarify the difference.",Billing,Negative,Medium,17,the billing amount of does not match the quoted price of please clarify the difference,"['the', 'billing', 'amount', 'of', 'does', 'not', 'match', 'the', 'quoted', 'price', 'of', 'please', 'clarify', 'the', 'difference']"
84,I have raised this issue 3 times through different channels and still have not received a solution.,Complaint,Negative,High,17,i have raised this issue times through different channels and still have not received a solution,"['i', 'have', 'raised', 'this', 'issue', 'times', 'through', 'different', 'channels', 'and', 'still', 'have', 'not', 'received', 'a', 'solution']"
85,Do you offer any discounts for educational institutions or non-profit organizations?,General Inquiry,Positive,Low,11,do you offer any discounts for educational institutions or non profit organizations,"['do', 'you', 'offer', 'any', 'discounts', 'for', 'educational', 'institutions', 'or', 'non', 'profit', 'organizations']"
86,"Please initiate a refund for duplicate payment of ₹1,499 that was made due to a technical glitch.",Refund,Neutral,Medium,17,please initiate a refund for duplicate payment of that was made due to a technical glitch,"['please', 'initiate', 'a', 'refund', 'for', 'duplicate', 'payment', 'of', 'that', 'was', 'made', 'due', 'to', 'a', 'technical', 'glitch']"
87,I am considering switching from my current provider. Can you help me understand the migration process?,General Inquiry,Neutral,Medium,16,i am considering switching from my current provider can you help me understand the migration process,"['i', 'am', 'considering', 'switching', 'from', 'my', 'current', 'provider', 'can', 'you', 'help', 'me', 'understand', 'the', 'migration', 'process']"
88,"I have not received my refund of $149 that was approved on February 12, 2026. Please provide an update.",Billing,Negative,High,19,i have not received my refund of that was approved on february please provide an update,"['i', 'have', 'not', 'received', 'my', 'refund', 'of', 'that', 'was', 'approved', 'on', 'february', 'please', 'provide', 'an', 'update']"
89,"The billing amount of $99 does not match the quoted price of ₹1,299. Please clarify the difference.",Billing,Negative,High,17,the billing amount of does not match the quoted price of please clarify the difference,"['the', 'billing', 'amount', 'of', 'does', 'not', 'match', 'the', 'quoted', 'price', 'of', 'please', 'clarify', 'the', 'difference']"
90,Can you please tell me about the pricing plans available for enterprise customers with more than 500 users?,General Inquiry,Neutral,Low,18,can you please tell me about the pricing plans available for enterprise customers with more than users,"['can', 'you', 'please', 'tell', 'me', 'about', 'the', 'pricing', 'plans', 'available', 'for', 'enterprise', 'customers', 'with', 'more', 'than', 'users']"
91,The refund status on my dashboard shows processing for the last 3 days. When will it be credited?,Refund,Neutral,High,18,the refund status on my dashboard shows processing for the last days when will it be credited,"['the', 'refund', 'status', 'on', 'my', 'dashboard', 'shows', 'processing', 'for', 'the', 'last', 'days', 'when', 'will', 'it', 'be', 'credited']"
92,The product stopped working within 10 days of purchase. This is a clear quality control failure.,Complaint,Negative,High,16,the product stopped working within days of purchase this is a clear quality control failure,"['the', 'product', 'stopped', 'working', 'within', 'days', 'of', 'purchase', 'this', 'is', 'a', 'clear', 'quality', 'control', 'failure']"
93,The browser extension is conflicting with other extensions and causing my browser to crash.,Technical,Negative,High,14,the browser extension is conflicting with other extensions and causing my browser to crash,"['the', 'browser', 'extension', 'is', 'conflicting', 'with', 'other', 'extensions', 'and', 'causing', 'my', 'browser', 'to', 'crash']"
94,I did not authorize the charge of ₹499 on my account. Please investigate this transaction.,Billing,Negative,High,15,i did not authorize the charge of on my account please investigate this transaction,"['i', 'did', 'not', 'authorize', 'the', 'charge', 'of', 'on', 'my', 'account', 'please', 'investigate', 'this', 'transaction']"
95,I want to share positive feedback about your customer support agent Priya who was extremely helpful.,Feedback,Neutral,Medium,16,i want to share positive feedback about your customer support agent priya who was extremely helpful,"['i', 'want', 'to', 'share', 'positive', 'feedback', 'about', 'your', 'customer', 'support', 'agent', 'priya', 'who', 'was', 'extremely', 'helpful']"
96,I accidentally deleted important files from my account. Is there any way to recover them?,Account,Neutral,Critical,15,i accidentally deleted important files from my account is there any way to recover them,"['i', 'accidentally', 'deleted', 'important', 'files', 'from', 'my', 'account', 'is', 'there', 'any', 'way', 'to', 'recover', 'them']"
97,The delivery was 7 days late and the package arrived in a completely damaged condition.,Complaint,Negative,Critical,15,the delivery was days late and the package arrived in a completely damaged condition,"['the', 'delivery', 'was', 'days', 'late', 'and', 'the', 'package', 'arrived', 'in', 'a', 'completely', 'damaged', 'condition']"
98,The dashboard is not loading properly on Internet Explorer 11. Graphs are not displaying.,Technical,Negative,High,14,the dashboard is not loading properly on internet explorer graphs are not displaying,"['the', 'dashboard', 'is', 'not', 'loading', 'properly', 'on', 'internet', 'explorer', 'graphs', 'are', 'not', 'displaying']"
