contract_text,supplier,product,quantity,price,delivery_date,payment_terms
"
    Supplier: National Plastics

    Product: Copper Wire

    Quantity: 3121 Tons

    Price: ₹34405/Ton

    Delivery Date: 12 October 2026

    Payment Terms: 50% Advance

    National Plastics agrees to supply 3121 Tons of Copper Wire
    at ₹34405 per Ton.

    Delivery shall be completed by 12 October 2026.

    Payment Terms: 50% Advance.
    ",National Plastics,Copper Wire,3121 Tons,34405,12 October 2026,50% Advance
"
    Supplier: National Plastics

    Product: Copper Wire

    Quantity: 5150 Tons

    Price: ₹4355/Ton

    Delivery Date: 3 March 2026

    Payment Terms: Advance Payment

    National Plastics agrees to supply 5150 Tons of Copper Wire
    at ₹4355 per Ton.

    Delivery shall be completed by 3 March 2026.

    Payment Terms: Advance Payment.
    ",National Plastics,Copper Wire,5150 Tons,4355,3 March 2026,Advance Payment
"
    Supplier: Bharat Steel Ltd

    Product: Fertilizer

    Quantity: 3405 Tons

    Price: ₹7079/Ton

    Delivery Date: 19 December 2026

    Payment Terms: 50% Advance

    Bharat Steel Ltd agrees to supply 3405 Tons of Fertilizer
    at ₹7079 per Ton.

    Delivery shall be completed by 19 December 2026.

    Payment Terms: 50% Advance.
    ",Bharat Steel Ltd,Fertilizer,3405 Tons,7079,19 December 2026,50% Advance
"
    Supplier: National Plastics

    Product: Iron Rods

    Quantity: 8441 Tons

    Price: ₹45117/Ton

    Delivery Date: 23 March 2026

    Payment Terms: Net 45 Days

    National Plastics agrees to supply 8441 Tons of Iron Rods
    at ₹45117 per Ton.

    Delivery shall be completed by 23 March 2026.

    Payment Terms: Net 45 Days.
    ",National Plastics,Iron Rods,8441 Tons,45117,23 March 2026,Net 45 Days
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 3816 Tons

    Price: ₹38950/Ton

    Delivery Date: 25 January 2026

    Payment Terms: Advance Payment

    Global Minerals agrees to supply 3816 Tons of Plastic Granules
    at ₹38950 per Ton.

    Delivery shall be completed by 25 January 2026.

    Payment Terms: Advance Payment.
    ",Global Minerals,Plastic Granules,3816 Tons,38950,25 January 2026,Advance Payment
"
    Supplier: ABC Chemicals

    Product: Fertilizer

    Quantity: 7143 Tons

    Price: ₹19806/Ton

    Delivery Date: 2 May 2026

    Payment Terms: Advance Payment

    ABC Chemicals agrees to supply 7143 Tons of Fertilizer
    at ₹19806 per Ton.

    Delivery shall be completed by 2 May 2026.

    Payment Terms: Advance Payment.
    ",ABC Chemicals,Fertilizer,7143 Tons,19806,2 May 2026,Advance Payment
"
    Supplier: ABC Chemicals

    Product: Iron Rods

    Quantity: 7113 Tons

    Price: ₹16646/Ton

    Delivery Date: 23 February 2026

    Payment Terms: 50% Advance

    ABC Chemicals agrees to supply 7113 Tons of Iron Rods
    at ₹16646 per Ton.

    Delivery shall be completed by 23 February 2026.

    Payment Terms: 50% Advance.
    ",ABC Chemicals,Iron Rods,7113 Tons,16646,23 February 2026,50% Advance
"
    Supplier: Bharat Steel Ltd

    Product: Plastic Granules

    Quantity: 6814 Tons

    Price: ₹43993/Ton

    Delivery Date: 10 March 2026

    Payment Terms: Payment After Delivery

    Bharat Steel Ltd agrees to supply 6814 Tons of Plastic Granules
    at ₹43993 per Ton.

    Delivery shall be completed by 10 March 2026.

    Payment Terms: Payment After Delivery.
    ",Bharat Steel Ltd,Plastic Granules,6814 Tons,43993,10 March 2026,Payment After Delivery
"
    Supplier: Bharat Steel Ltd

    Product: Plastic Granules

    Quantity: 2488 Tons

    Price: ₹22705/Ton

    Delivery Date: 23 August 2026

    Payment Terms: Net 30 Days

    Bharat Steel Ltd agrees to supply 2488 Tons of Plastic Granules
    at ₹22705 per Ton.

    Delivery shall be completed by 23 August 2026.

    Payment Terms: Net 30 Days.
    ",Bharat Steel Ltd,Plastic Granules,2488 Tons,22705,23 August 2026,Net 30 Days
"
    Supplier: National Plastics

    Product: Iron Rods

    Quantity: 4369 Tons

    Price: ₹47272/Ton

    Delivery Date: 21 February 2026

    Payment Terms: 50% Advance

    National Plastics agrees to supply 4369 Tons of Iron Rods
    at ₹47272 per Ton.

    Delivery shall be completed by 21 February 2026.

    Payment Terms: 50% Advance.
    ",National Plastics,Iron Rods,4369 Tons,47272,21 February 2026,50% Advance
"
    Supplier: Green Agro Pvt Ltd

    Product: Iron Rods

    Quantity: 9586 Tons

    Price: ₹24348/Ton

    Delivery Date: 5 February 2026

    Payment Terms: Payment After Delivery

    Green Agro Pvt Ltd agrees to supply 9586 Tons of Iron Rods
    at ₹24348 per Ton.

    Delivery shall be completed by 5 February 2026.

    Payment Terms: Payment After Delivery.
    ",Green Agro Pvt Ltd,Iron Rods,9586 Tons,24348,5 February 2026,Payment After Delivery
"
    Supplier: Global Minerals

    Product: Industrial Solvent

    Quantity: 7373 Tons

    Price: ₹1489/Ton

    Delivery Date: 5 September 2026

    Payment Terms: Net 45 Days

    Global Minerals agrees to supply 7373 Tons of Industrial Solvent
    at ₹1489 per Ton.

    Delivery shall be completed by 5 September 2026.

    Payment Terms: Net 45 Days.
    ",Global Minerals,Industrial Solvent,7373 Tons,1489,5 September 2026,Net 45 Days
"
    Supplier: ABC Chemicals

    Product: Fertilizer

    Quantity: 850 Tons

    Price: ₹40822/Ton

    Delivery Date: 17 July 2026

    Payment Terms: Payment After Delivery

    ABC Chemicals agrees to supply 850 Tons of Fertilizer
    at ₹40822 per Ton.

    Delivery shall be completed by 17 July 2026.

    Payment Terms: Payment After Delivery.
    ",ABC Chemicals,Fertilizer,850 Tons,40822,17 July 2026,Payment After Delivery
"
    Supplier: ABC Chemicals

    Product: Iron Rods

    Quantity: 5031 Tons

    Price: ₹21859/Ton

    Delivery Date: 27 September 2026

    Payment Terms: Payment After Delivery

    ABC Chemicals agrees to supply 5031 Tons of Iron Rods
    at ₹21859 per Ton.

    Delivery shall be completed by 27 September 2026.

    Payment Terms: Payment After Delivery.
    ",ABC Chemicals,Iron Rods,5031 Tons,21859,27 September 2026,Payment After Delivery
"
    Supplier: ABC Chemicals

    Product: Copper Wire

    Quantity: 1379 Tons

    Price: ₹31848/Ton

    Delivery Date: 23 May 2026

    Payment Terms: Payment After Delivery

    ABC Chemicals agrees to supply 1379 Tons of Copper Wire
    at ₹31848 per Ton.

    Delivery shall be completed by 23 May 2026.

    Payment Terms: Payment After Delivery.
    ",ABC Chemicals,Copper Wire,1379 Tons,31848,23 May 2026,Payment After Delivery
"
    Supplier: Green Agro Pvt Ltd

    Product: Industrial Solvent

    Quantity: 3578 Tons

    Price: ₹14003/Ton

    Delivery Date: 8 July 2026

    Payment Terms: Net 45 Days

    Green Agro Pvt Ltd agrees to supply 3578 Tons of Industrial Solvent
    at ₹14003 per Ton.

    Delivery shall be completed by 8 July 2026.

    Payment Terms: Net 45 Days.
    ",Green Agro Pvt Ltd,Industrial Solvent,3578 Tons,14003,8 July 2026,Net 45 Days
"
    Supplier: ABC Chemicals

    Product: Plastic Granules

    Quantity: 1381 Tons

    Price: ₹10112/Ton

    Delivery Date: 21 May 2026

    Payment Terms: Net 45 Days

    ABC Chemicals agrees to supply 1381 Tons of Plastic Granules
    at ₹10112 per Ton.

    Delivery shall be completed by 21 May 2026.

    Payment Terms: Net 45 Days.
    ",ABC Chemicals,Plastic Granules,1381 Tons,10112,21 May 2026,Net 45 Days
"
    Supplier: ABC Chemicals

    Product: Fertilizer

    Quantity: 5568 Tons

    Price: ₹48454/Ton

    Delivery Date: 17 May 2026

    Payment Terms: Payment After Delivery

    ABC Chemicals agrees to supply 5568 Tons of Fertilizer
    at ₹48454 per Ton.

    Delivery shall be completed by 17 May 2026.

    Payment Terms: Payment After Delivery.
    ",ABC Chemicals,Fertilizer,5568 Tons,48454,17 May 2026,Payment After Delivery
"
    Supplier: Green Agro Pvt Ltd

    Product: Iron Rods

    Quantity: 756 Tons

    Price: ₹4891/Ton

    Delivery Date: 27 February 2026

    Payment Terms: Advance Payment

    Green Agro Pvt Ltd agrees to supply 756 Tons of Iron Rods
    at ₹4891 per Ton.

    Delivery shall be completed by 27 February 2026.

    Payment Terms: Advance Payment.
    ",Green Agro Pvt Ltd,Iron Rods,756 Tons,4891,27 February 2026,Advance Payment
"
    Supplier: ABC Chemicals

    Product: Plastic Granules

    Quantity: 4478 Tons

    Price: ₹40877/Ton

    Delivery Date: 7 November 2026

    Payment Terms: Payment After Delivery

    ABC Chemicals agrees to supply 4478 Tons of Plastic Granules
    at ₹40877 per Ton.

    Delivery shall be completed by 7 November 2026.

    Payment Terms: Payment After Delivery.
    ",ABC Chemicals,Plastic Granules,4478 Tons,40877,7 November 2026,Payment After Delivery
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 1484 Tons

    Price: ₹4942/Ton

    Delivery Date: 20 November 2026

    Payment Terms: Advance Payment

    Global Minerals agrees to supply 1484 Tons of Plastic Granules
    at ₹4942 per Ton.

    Delivery shall be completed by 20 November 2026.

    Payment Terms: Advance Payment.
    ",Global Minerals,Plastic Granules,1484 Tons,4942,20 November 2026,Advance Payment
"
    Supplier: Global Minerals

    Product: Iron Rods

    Quantity: 513 Tons

    Price: ₹7655/Ton

    Delivery Date: 7 October 2026

    Payment Terms: Advance Payment

    Global Minerals agrees to supply 513 Tons of Iron Rods
    at ₹7655 per Ton.

    Delivery shall be completed by 7 October 2026.

    Payment Terms: Advance Payment.
    ",Global Minerals,Iron Rods,513 Tons,7655,7 October 2026,Advance Payment
"
    Supplier: National Plastics

    Product: Plastic Granules

    Quantity: 1156 Tons

    Price: ₹22174/Ton

    Delivery Date: 7 August 2026

    Payment Terms: Net 45 Days

    National Plastics agrees to supply 1156 Tons of Plastic Granules
    at ₹22174 per Ton.

    Delivery shall be completed by 7 August 2026.

    Payment Terms: Net 45 Days.
    ",National Plastics,Plastic Granules,1156 Tons,22174,7 August 2026,Net 45 Days
"
    Supplier: National Plastics

    Product: Copper Wire

    Quantity: 9861 Tons

    Price: ₹19566/Ton

    Delivery Date: 7 December 2026

    Payment Terms: Payment After Delivery

    National Plastics agrees to supply 9861 Tons of Copper Wire
    at ₹19566 per Ton.

    Delivery shall be completed by 7 December 2026.

    Payment Terms: Payment After Delivery.
    ",National Plastics,Copper Wire,9861 Tons,19566,7 December 2026,Payment After Delivery
"
    Supplier: ABC Chemicals

    Product: Industrial Solvent

    Quantity: 4772 Tons

    Price: ₹6428/Ton

    Delivery Date: 28 August 2026

    Payment Terms: 50% Advance

    ABC Chemicals agrees to supply 4772 Tons of Industrial Solvent
    at ₹6428 per Ton.

    Delivery shall be completed by 28 August 2026.

    Payment Terms: 50% Advance.
    ",ABC Chemicals,Industrial Solvent,4772 Tons,6428,28 August 2026,50% Advance
"
    Supplier: ABC Chemicals

    Product: Fertilizer

    Quantity: 3295 Tons

    Price: ₹19098/Ton

    Delivery Date: 13 July 2026

    Payment Terms: Payment After Delivery

    ABC Chemicals agrees to supply 3295 Tons of Fertilizer
    at ₹19098 per Ton.

    Delivery shall be completed by 13 July 2026.

    Payment Terms: Payment After Delivery.
    ",ABC Chemicals,Fertilizer,3295 Tons,19098,13 July 2026,Payment After Delivery
"
    Supplier: Green Agro Pvt Ltd

    Product: Industrial Solvent

    Quantity: 9649 Tons

    Price: ₹11181/Ton

    Delivery Date: 15 May 2026

    Payment Terms: Payment After Delivery

    Green Agro Pvt Ltd agrees to supply 9649 Tons of Industrial Solvent
    at ₹11181 per Ton.

    Delivery shall be completed by 15 May 2026.

    Payment Terms: Payment After Delivery.
    ",Green Agro Pvt Ltd,Industrial Solvent,9649 Tons,11181,15 May 2026,Payment After Delivery
"
    Supplier: ABC Chemicals

    Product: Plastic Granules

    Quantity: 2128 Tons

    Price: ₹13490/Ton

    Delivery Date: 2 April 2026

    Payment Terms: Payment After Delivery

    ABC Chemicals agrees to supply 2128 Tons of Plastic Granules
    at ₹13490 per Ton.

    Delivery shall be completed by 2 April 2026.

    Payment Terms: Payment After Delivery.
    ",ABC Chemicals,Plastic Granules,2128 Tons,13490,2 April 2026,Payment After Delivery
"
    Supplier: Global Minerals

    Product: Fertilizer

    Quantity: 8821 Tons

    Price: ₹29690/Ton

    Delivery Date: 17 April 2026

    Payment Terms: Payment After Delivery

    Global Minerals agrees to supply 8821 Tons of Fertilizer
    at ₹29690 per Ton.

    Delivery shall be completed by 17 April 2026.

    Payment Terms: Payment After Delivery.
    ",Global Minerals,Fertilizer,8821 Tons,29690,17 April 2026,Payment After Delivery
"
    Supplier: Green Agro Pvt Ltd

    Product: Plastic Granules

    Quantity: 9716 Tons

    Price: ₹35036/Ton

    Delivery Date: 4 February 2026

    Payment Terms: Net 45 Days

    Green Agro Pvt Ltd agrees to supply 9716 Tons of Plastic Granules
    at ₹35036 per Ton.

    Delivery shall be completed by 4 February 2026.

    Payment Terms: Net 45 Days.
    ",Green Agro Pvt Ltd,Plastic Granules,9716 Tons,35036,4 February 2026,Net 45 Days
"
    Supplier: Global Minerals

    Product: Industrial Solvent

    Quantity: 5074 Tons

    Price: ₹14916/Ton

    Delivery Date: 23 October 2026

    Payment Terms: Net 45 Days

    Global Minerals agrees to supply 5074 Tons of Industrial Solvent
    at ₹14916 per Ton.

    Delivery shall be completed by 23 October 2026.

    Payment Terms: Net 45 Days.
    ",Global Minerals,Industrial Solvent,5074 Tons,14916,23 October 2026,Net 45 Days
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 458 Tons

    Price: ₹16409/Ton

    Delivery Date: 15 November 2026

    Payment Terms: Net 45 Days

    Global Minerals agrees to supply 458 Tons of Plastic Granules
    at ₹16409 per Ton.

    Delivery shall be completed by 15 November 2026.

    Payment Terms: Net 45 Days.
    ",Global Minerals,Plastic Granules,458 Tons,16409,15 November 2026,Net 45 Days
"
    Supplier: ABC Chemicals

    Product: Copper Wire

    Quantity: 2806 Tons

    Price: ₹44065/Ton

    Delivery Date: 23 November 2026

    Payment Terms: Net 45 Days

    ABC Chemicals agrees to supply 2806 Tons of Copper Wire
    at ₹44065 per Ton.

    Delivery shall be completed by 23 November 2026.

    Payment Terms: Net 45 Days.
    ",ABC Chemicals,Copper Wire,2806 Tons,44065,23 November 2026,Net 45 Days
"
    Supplier: ABC Chemicals

    Product: Fertilizer

    Quantity: 7891 Tons

    Price: ₹13924/Ton

    Delivery Date: 16 October 2026

    Payment Terms: Net 45 Days

    ABC Chemicals agrees to supply 7891 Tons of Fertilizer
    at ₹13924 per Ton.

    Delivery shall be completed by 16 October 2026.

    Payment Terms: Net 45 Days.
    ",ABC Chemicals,Fertilizer,7891 Tons,13924,16 October 2026,Net 45 Days
"
    Supplier: Global Minerals

    Product: Fertilizer

    Quantity: 6908 Tons

    Price: ₹35491/Ton

    Delivery Date: 2 March 2026

    Payment Terms: Payment After Delivery

    Global Minerals agrees to supply 6908 Tons of Fertilizer
    at ₹35491 per Ton.

    Delivery shall be completed by 2 March 2026.

    Payment Terms: Payment After Delivery.
    ",Global Minerals,Fertilizer,6908 Tons,35491,2 March 2026,Payment After Delivery
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 2995 Tons

    Price: ₹15730/Ton

    Delivery Date: 4 January 2026

    Payment Terms: Net 45 Days

    Global Minerals agrees to supply 2995 Tons of Plastic Granules
    at ₹15730 per Ton.

    Delivery shall be completed by 4 January 2026.

    Payment Terms: Net 45 Days.
    ",Global Minerals,Plastic Granules,2995 Tons,15730,4 January 2026,Net 45 Days
"
    Supplier: Bharat Steel Ltd

    Product: Plastic Granules

    Quantity: 1904 Tons

    Price: ₹31615/Ton

    Delivery Date: 1 May 2026

    Payment Terms: 50% Advance

    Bharat Steel Ltd agrees to supply 1904 Tons of Plastic Granules
    at ₹31615 per Ton.

    Delivery shall be completed by 1 May 2026.

    Payment Terms: 50% Advance.
    ",Bharat Steel Ltd,Plastic Granules,1904 Tons,31615,1 May 2026,50% Advance
"
    Supplier: National Plastics

    Product: Plastic Granules

    Quantity: 9187 Tons

    Price: ₹5329/Ton

    Delivery Date: 16 November 2026

    Payment Terms: Net 45 Days

    National Plastics agrees to supply 9187 Tons of Plastic Granules
    at ₹5329 per Ton.

    Delivery shall be completed by 16 November 2026.

    Payment Terms: Net 45 Days.
    ",National Plastics,Plastic Granules,9187 Tons,5329,16 November 2026,Net 45 Days
"
    Supplier: ABC Chemicals

    Product: Plastic Granules

    Quantity: 9416 Tons

    Price: ₹11133/Ton

    Delivery Date: 11 January 2026

    Payment Terms: Net 45 Days

    ABC Chemicals agrees to supply 9416 Tons of Plastic Granules
    at ₹11133 per Ton.

    Delivery shall be completed by 11 January 2026.

    Payment Terms: Net 45 Days.
    ",ABC Chemicals,Plastic Granules,9416 Tons,11133,11 January 2026,Net 45 Days
"
    Supplier: ABC Chemicals

    Product: Industrial Solvent

    Quantity: 2137 Tons

    Price: ₹13641/Ton

    Delivery Date: 19 November 2026

    Payment Terms: Net 45 Days

    ABC Chemicals agrees to supply 2137 Tons of Industrial Solvent
    at ₹13641 per Ton.

    Delivery shall be completed by 19 November 2026.

    Payment Terms: Net 45 Days.
    ",ABC Chemicals,Industrial Solvent,2137 Tons,13641,19 November 2026,Net 45 Days
"
    Supplier: ABC Chemicals

    Product: Copper Wire

    Quantity: 8403 Tons

    Price: ₹26631/Ton

    Delivery Date: 5 June 2026

    Payment Terms: Net 30 Days

    ABC Chemicals agrees to supply 8403 Tons of Copper Wire
    at ₹26631 per Ton.

    Delivery shall be completed by 5 June 2026.

    Payment Terms: Net 30 Days.
    ",ABC Chemicals,Copper Wire,8403 Tons,26631,5 June 2026,Net 30 Days
"
    Supplier: Bharat Steel Ltd

    Product: Plastic Granules

    Quantity: 9351 Tons

    Price: ₹26739/Ton

    Delivery Date: 3 October 2026

    Payment Terms: Payment After Delivery

    Bharat Steel Ltd agrees to supply 9351 Tons of Plastic Granules
    at ₹26739 per Ton.

    Delivery shall be completed by 3 October 2026.

    Payment Terms: Payment After Delivery.
    ",Bharat Steel Ltd,Plastic Granules,9351 Tons,26739,3 October 2026,Payment After Delivery
"
    Supplier: Global Minerals

    Product: Iron Rods

    Quantity: 6685 Tons

    Price: ₹36556/Ton

    Delivery Date: 18 April 2026

    Payment Terms: Payment After Delivery

    Global Minerals agrees to supply 6685 Tons of Iron Rods
    at ₹36556 per Ton.

    Delivery shall be completed by 18 April 2026.

    Payment Terms: Payment After Delivery.
    ",Global Minerals,Iron Rods,6685 Tons,36556,18 April 2026,Payment After Delivery
"
    Supplier: Global Minerals

    Product: Copper Wire

    Quantity: 5480 Tons

    Price: ₹22793/Ton

    Delivery Date: 9 January 2026

    Payment Terms: Net 45 Days

    Global Minerals agrees to supply 5480 Tons of Copper Wire
    at ₹22793 per Ton.

    Delivery shall be completed by 9 January 2026.

    Payment Terms: Net 45 Days.
    ",Global Minerals,Copper Wire,5480 Tons,22793,9 January 2026,Net 45 Days
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 8581 Tons

    Price: ₹47266/Ton

    Delivery Date: 19 November 2026

    Payment Terms: Advance Payment

    Global Minerals agrees to supply 8581 Tons of Plastic Granules
    at ₹47266 per Ton.

    Delivery shall be completed by 19 November 2026.

    Payment Terms: Advance Payment.
    ",Global Minerals,Plastic Granules,8581 Tons,47266,19 November 2026,Advance Payment
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 3093 Tons

    Price: ₹39463/Ton

    Delivery Date: 27 July 2026

    Payment Terms: Advance Payment

    Global Minerals agrees to supply 3093 Tons of Plastic Granules
    at ₹39463 per Ton.

    Delivery shall be completed by 27 July 2026.

    Payment Terms: Advance Payment.
    ",Global Minerals,Plastic Granules,3093 Tons,39463,27 July 2026,Advance Payment
"
    Supplier: Bharat Steel Ltd

    Product: Plastic Granules

    Quantity: 234 Tons

    Price: ₹2187/Ton

    Delivery Date: 4 November 2026

    Payment Terms: Payment After Delivery

    Bharat Steel Ltd agrees to supply 234 Tons of Plastic Granules
    at ₹2187 per Ton.

    Delivery shall be completed by 4 November 2026.

    Payment Terms: Payment After Delivery.
    ",Bharat Steel Ltd,Plastic Granules,234 Tons,2187,4 November 2026,Payment After Delivery
"
    Supplier: National Plastics

    Product: Copper Wire

    Quantity: 9207 Tons

    Price: ₹12048/Ton

    Delivery Date: 13 July 2026

    Payment Terms: Advance Payment

    National Plastics agrees to supply 9207 Tons of Copper Wire
    at ₹12048 per Ton.

    Delivery shall be completed by 13 July 2026.

    Payment Terms: Advance Payment.
    ",National Plastics,Copper Wire,9207 Tons,12048,13 July 2026,Advance Payment
"
    Supplier: Global Minerals

    Product: Industrial Solvent

    Quantity: 7065 Tons

    Price: ₹46954/Ton

    Delivery Date: 5 November 2026

    Payment Terms: Net 30 Days

    Global Minerals agrees to supply 7065 Tons of Industrial Solvent
    at ₹46954 per Ton.

    Delivery shall be completed by 5 November 2026.

    Payment Terms: Net 30 Days.
    ",Global Minerals,Industrial Solvent,7065 Tons,46954,5 November 2026,Net 30 Days
"
    Supplier: Bharat Steel Ltd

    Product: Plastic Granules

    Quantity: 874 Tons

    Price: ₹28526/Ton

    Delivery Date: 4 November 2026

    Payment Terms: Net 30 Days

    Bharat Steel Ltd agrees to supply 874 Tons of Plastic Granules
    at ₹28526 per Ton.

    Delivery shall be completed by 4 November 2026.

    Payment Terms: Net 30 Days.
    ",Bharat Steel Ltd,Plastic Granules,874 Tons,28526,4 November 2026,Net 30 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Fertilizer

    Quantity: 1133 Tons

    Price: ₹27261/Ton

    Delivery Date: 21 November 2026

    Payment Terms: Payment After Delivery

    Green Agro Pvt Ltd agrees to supply 1133 Tons of Fertilizer
    at ₹27261 per Ton.

    Delivery shall be completed by 21 November 2026.

    Payment Terms: Payment After Delivery.
    ",Green Agro Pvt Ltd,Fertilizer,1133 Tons,27261,21 November 2026,Payment After Delivery
"
    Supplier: National Plastics

    Product: Iron Rods

    Quantity: 2184 Tons

    Price: ₹34655/Ton

    Delivery Date: 25 May 2026

    Payment Terms: 50% Advance

    National Plastics agrees to supply 2184 Tons of Iron Rods
    at ₹34655 per Ton.

    Delivery shall be completed by 25 May 2026.

    Payment Terms: 50% Advance.
    ",National Plastics,Iron Rods,2184 Tons,34655,25 May 2026,50% Advance
"
    Supplier: Bharat Steel Ltd

    Product: Iron Rods

    Quantity: 6244 Tons

    Price: ₹28919/Ton

    Delivery Date: 4 November 2026

    Payment Terms: Net 30 Days

    Bharat Steel Ltd agrees to supply 6244 Tons of Iron Rods
    at ₹28919 per Ton.

    Delivery shall be completed by 4 November 2026.

    Payment Terms: Net 30 Days.
    ",Bharat Steel Ltd,Iron Rods,6244 Tons,28919,4 November 2026,Net 30 Days
"
    Supplier: Global Minerals

    Product: Iron Rods

    Quantity: 3468 Tons

    Price: ₹41191/Ton

    Delivery Date: 11 March 2026

    Payment Terms: 50% Advance

    Global Minerals agrees to supply 3468 Tons of Iron Rods
    at ₹41191 per Ton.

    Delivery shall be completed by 11 March 2026.

    Payment Terms: 50% Advance.
    ",Global Minerals,Iron Rods,3468 Tons,41191,11 March 2026,50% Advance
"
    Supplier: Green Agro Pvt Ltd

    Product: Iron Rods

    Quantity: 4606 Tons

    Price: ₹5158/Ton

    Delivery Date: 7 January 2026

    Payment Terms: Advance Payment

    Green Agro Pvt Ltd agrees to supply 4606 Tons of Iron Rods
    at ₹5158 per Ton.

    Delivery shall be completed by 7 January 2026.

    Payment Terms: Advance Payment.
    ",Green Agro Pvt Ltd,Iron Rods,4606 Tons,5158,7 January 2026,Advance Payment
